feature,shap_importance
Ensemble_prediction,0.303907321672662
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.20676500174972054
8_Xgboost_GoldenFeatures_prediction,0.07581158462699034
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.06843730191947198
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.06323163693972048
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.05137010344740952
4_Default_Xgboost_prediction,0.04928161375863566
roof_substrate_type,0.022591201091919658
year_built,0.018681762020796196
4_Default_Xgboost_categorical_mix_prediction,0.017949037040378167
6_Default_RandomForest_prediction,0.015608264705427323
12_RandomForest_prediction,0.01362853520857719
18_NeuralNetwork_prediction,0.011657154007662067
6_Default_RandomForest_SelectedFeatures_prediction,0.011537998039980775
15_NeuralNetwork_SelectedFeatures_prediction,0.011038167964541887
6_Default_RandomForest_GoldenFeatures_prediction,0.01065665658127028
20_RandomForest_SelectedFeatures_prediction,0.010008880729255489
10_RandomForest_SelectedFeatures_prediction,0.009844031958423729
21_NeuralNetwork_SelectedFeatures_prediction,0.009827204715905358
24_NeuralNetwork_prediction,0.009587926795155232
wall_substrate,0.008941938285906049
Buildinglat,0.00873419690506104
23_NeuralNetwork_prediction,0.008232272176132609
roof_system,0.008049564620268427
16_NeuralNetwork_SelectedFeatures_prediction,0.0076839299168084425
14_DecisionTree_prediction,0.007503268160975943
roof_cover,0.006800778580001413
5_Default_NeuralNetwork_prediction,0.006012396560160595
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.005858217049573325
hazards_present,0.005682942307104073
Buildinglong,0.005647711534978374
foundation_type,0.005563518831702693
17_NeuralNetwork_prediction,0.005198363366453521
roof_shape,0.004678468838380139
4_Default_Xgboost_GoldenFeatures_prediction,0.004424101705142626
22_NeuralNetwork_SelectedFeatures_prediction,0.0034773781677625054
wall_structure,0.0026592949895809922
13_DecisionTree_prediction,0.002300575856992594
mindist,0.0013110471039419563
2_DecisionTree_prediction,0.0
11_RandomForest_prediction,0.0
9_RandomForest_SelectedFeatures_prediction,0.0
3_Linear_prediction,0.0
