feature,mean_importance
Buildinglong,-0.0029483680331403805
22_NeuralNetwork_SelectedFeatures_prediction,-0.0029043681089816697
12_RandomForest_prediction,-0.0024297948107930845
6_Default_RandomForest_GoldenFeatures_prediction,-0.002212523750152373
5_Default_NeuralNetwork_prediction,-0.0021189947435016343
4_Default_Xgboost_GoldenFeatures_prediction,-0.0018096849856124475
24_NeuralNetwork_prediction,-0.0016633792668448333
16_NeuralNetwork_SelectedFeatures_prediction,-0.0015444575416039053
year_built,-0.001525519263483721
mindist,-0.0011103974463862354
6_Default_RandomForest_prediction,-0.0008659064673195216
10_RandomForest_SelectedFeatures_prediction,-0.00046870808609964507
3_Linear_prediction,-0.0003598455091641473
20_RandomForest_SelectedFeatures_prediction,-0.00033427362190763255
wall_structure,-0.0003132636626939522
23_NeuralNetwork_prediction,-0.00020294098638327097
14_DecisionTree_prediction,-0.0001116868921099634
Buildinglat,-6.520034144461562e-05
11_RandomForest_prediction,-1.8989670234637047e-05
9_RandomForest_SelectedFeatures_prediction,3.366901749755069e-05
roof_shape,0.00013674023634151488
roof_substrate_type,0.00015638058425062606
foundation_type,0.00024930563179246243
21_NeuralNetwork_SelectedFeatures_prediction,0.0005333178379370418
roof_system,0.0005837111893116198
6_Default_RandomForest_SelectedFeatures_prediction,0.000671677067150056
roof_cover,0.0006801220014789778
18_NeuralNetwork_prediction,0.0009679255539219555
4_Default_Xgboost_prediction,0.0009705732730311833
2_DecisionTree_prediction,0.001082700658543323
wall_substrate,0.0012227255352996514
13_DecisionTree_prediction,0.0014439271177832057
17_NeuralNetwork_prediction,0.001956412776821237
15_NeuralNetwork_SelectedFeatures_prediction,0.002480050686787183
hazards_present,0.0025572356092522287
8_Xgboost_GoldenFeatures_prediction,0.0071758650496112075
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.007957228743145616
4_Default_Xgboost_categorical_mix_prediction,0.008038254492713249
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.016268992131735938
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.03110701600244503
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.03350093834572863
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.05667715367329802
Ensemble_prediction,0.08957197322571364
