feature,mean_importance
Buildinglat,-0.011670463857342984
foundation_type,-0.0018916799930454031
understory_pct_of_building_footprint,-0.0004417034467090075
roof_cover,0.00030815550412803815
roof_shape,0.001140663886603921
wall_substrate,0.0029155405052677997
wall_cladding,0.003818145935016315
number_of_stories,0.0040029395640127086
roof_substrate_type,0.0048801937475477005
mwfrs,0.005535293432509236
building_type,0.005841470124908344
wall_structure,0.006198285110625168
roof_system,0.010246835325964132
Buildinglong,0.0292447570956056
hazards_present,0.08076100814150693
year_built,0.15866083658317312
mindist,0.3126990438077609
