feature,shap_importance
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.2265873563989814
Ensemble_prediction,0.19483612569439537
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.06134694523377029
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.05123775313777968
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.04941634318019335
4_Default_Xgboost_GoldenFeatures_prediction,0.029716447566588058
4_Default_Xgboost_categorical_mix_prediction,0.027304977626306966
8_Xgboost_GoldenFeatures_prediction,0.025576567324083758
15_NeuralNetwork_SelectedFeatures_prediction,0.021931545609284567
10_RandomForest_SelectedFeatures_prediction,0.021849825930191667
mwfrs,0.01606054202575305
20_RandomForest_SelectedFeatures_prediction,0.01413885408700541
6_Default_RandomForest_GoldenFeatures_prediction,0.0132805661700567
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.012985683217247156
year_built,0.0111877086031728
Buildinglat,0.00905844497616672
11_RandomForest_prediction,0.008735650832104319
roof_shape,0.008528252308698553
12_RandomForest_prediction,0.008181342013507918
2_DecisionTree_prediction,0.00773909481413597
3_Linear_prediction,0.00671011456170697
9_RandomForest_SelectedFeatures_prediction,0.006540341761821253
hazards_present,0.005940573170419208
18_NeuralNetwork_prediction,0.005652845962327431
16_NeuralNetwork_SelectedFeatures_prediction,0.005293144659189246
6_Default_RandomForest_SelectedFeatures_prediction,0.005188213466118972
23_NeuralNetwork_prediction,0.004819462433316808
wall_cladding,0.004524145154158197
4_Default_Xgboost_prediction,0.0044532630867517
21_NeuralNetwork_SelectedFeatures_prediction,0.0036226734112725176
24_NeuralNetwork_prediction,0.0034538490681808747
17_NeuralNetwork_prediction,0.0031288123894622835
22_NeuralNetwork_SelectedFeatures_prediction,0.0030596110283900254
roof_substrate_type,0.0027479794442222295
Buildinglong,0.0025449629800742227
roof_system,0.0019986168803778695
5_Default_NeuralNetwork_prediction,0.001963612420426501
14_DecisionTree_prediction,0.0018853094160067884
6_Default_RandomForest_prediction,0.0018670625620316246
mindist,0.0015971142627970634
13_DecisionTree_prediction,0.001539442353279691
understory_pct_of_building_footprint,0.0013759552612331752
roof_cover,0.000992594920381973
wall_structure,0.000803900406882393
number_of_stories,0.0
foundation_type,0.0
wall_substrate,0.0
building_type,0.0
