feature,mean_importance
wall_substrate,-0.00999122726897832
mwfrs,-0.006947134017055956
understory_pct_of_building_footprint,-0.006113130859277715
roof_shape,-0.006053109397884638
year_built,-0.004539221362939161
4_Default_Xgboost_categorical_mix_prediction,-0.002137275446989073
number_of_stories,-0.0021255022800226843
14_DecisionTree_prediction,-0.0013208975342256179
4_Default_Xgboost_GoldenFeatures_prediction,-0.001254757072325341
16_NeuralNetwork_SelectedFeatures_prediction,-0.0006301039795866936
roof_cover,-0.0002866182734641232
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,-0.0002594558562915017
6_Default_RandomForest_prediction,-0.0002514868222029731
17_NeuralNetwork_prediction,-0.00022036079547804732
2_DecisionTree_prediction,-0.000123756529554786
20_RandomForest_SelectedFeatures_prediction,-8.079869709292087e-05
23_NeuralNetwork_prediction,-3.6570604233587824e-05
12_RandomForest_prediction,-2.6867944574293645e-05
11_RandomForest_prediction,0.0002064528660893128
8_Xgboost_GoldenFeatures_prediction,0.00021798402918533634
22_NeuralNetwork_SelectedFeatures_prediction,0.0004209816369999286
9_RandomForest_SelectedFeatures_prediction,0.0004528158895652945
10_RandomForest_SelectedFeatures_prediction,0.00046038892706863345
3_Linear_prediction,0.0007423235245647807
hazards_present,0.0008525163726092799
4_Default_Xgboost_prediction,0.0009073112641972747
15_NeuralNetwork_SelectedFeatures_prediction,0.0009074751430939276
6_Default_RandomForest_GoldenFeatures_prediction,0.0010481192764099756
mindist,0.0010670040520142754
6_Default_RandomForest_SelectedFeatures_prediction,0.002259877691001777
13_DecisionTree_prediction,0.002568385322047373
24_NeuralNetwork_prediction,0.002705670340804911
5_Default_NeuralNetwork_prediction,0.003050097622218062
Ensemble_prediction,0.0041980730322984435
21_NeuralNetwork_SelectedFeatures_prediction,0.004852513773913913
wall_structure,0.005948657169688998
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.005982977955498936
Buildinglong,0.00648291721694465
18_NeuralNetwork_prediction,0.0077745169383894195
Buildinglat,0.00790761121483341
roof_substrate_type,0.00864430978355013
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.010066599851351188
foundation_type,0.010870078092027202
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.011027348542513105
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.013506786523299308
building_type,0.013624361275797182
roof_system,0.02114560651991735
wall_cladding,0.021253288053729925
