feature,mean_importance
understory_pct_of_building_footprint,-0.007021916572036524
mwfrs,-0.0005741581158185572
roof_shape,0.003294148440473621
roof_cover,0.003327095076669506
wall_cladding,0.006314491326072913
building_type,0.006807272992490976
wall_structure,0.007094253400606631
wall_substrate,0.007780178784563252
roof_system,0.008759498478260252
foundation_type,0.024193021081928202
roof_substrate_type,0.031002522447893144
number_of_stories,0.034394178438576464
Buildinglong,0.0877624878599627
year_built,0.11269329409734405
Buildinglat,0.13242078994942919
hazards_present,0.2747730736091853
mindist,0.3067392165848008
