feature,shap_importance
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.3329944
Ensemble_prediction,0.15018688
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.12022998
15_NeuralNetwork_SelectedFeatures_prediction,0.053552695
4_Default_Xgboost_categorical_mix_prediction,0.05224905
8_Xgboost_GoldenFeatures_prediction,0.03932709
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.036669385
21_NeuralNetwork_SelectedFeatures_prediction,0.035913065
foundation_type,0.035347078
3_Linear_prediction,0.02742784
Buildinglong,0.02645703
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0242874
year_built,0.023544082
20_RandomForest_SelectedFeatures_prediction,0.023250641
wall_cladding,0.023181496
4_Default_Xgboost_GoldenFeatures_prediction,0.022144837
11_RandomForest_prediction,0.02027248
18_NeuralNetwork_prediction,0.019254636
16_NeuralNetwork_SelectedFeatures_prediction,0.01888911
Buildinglat,0.016326912
24_NeuralNetwork_prediction,0.01606562
6_Default_RandomForest_GoldenFeatures_prediction,0.015752167
roof_shape,0.015747659
10_RandomForest_SelectedFeatures_prediction,0.014562107
12_RandomForest_prediction,0.014336287
22_NeuralNetwork_SelectedFeatures_prediction,0.013988536
4_Default_Xgboost_prediction,0.013916483
17_NeuralNetwork_prediction,0.0138544105
hazards_present,0.0121933585
number_of_stories,0.010864474
9_RandomForest_SelectedFeatures_prediction,0.010538764
14_DecisionTree_prediction,0.009667404
roof_system,0.008790013
23_NeuralNetwork_prediction,0.008264242
roof_substrate_type,0.00795206
6_Default_RandomForest_SelectedFeatures_prediction,0.007901886
wall_structure,0.00748418
mwfrs,0.0070908205
building_type,0.006797948
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.005820113
6_Default_RandomForest_prediction,0.0055026542
5_Default_NeuralNetwork_prediction,0.0053188605
wall_substrate,0.004160684
2_DecisionTree_prediction,0.003791098
mindist,0.003616045
13_DecisionTree_prediction,0.0033041597
understory_pct_of_building_footprint,0.0025817442
roof_cover,0.0011434698
