feature,mean_importance
24_NeuralNetwork_prediction,-0.017370912428732586
5_Default_NeuralNetwork_prediction,-0.009711256486325948
Buildinglat,-0.0065802266347619095
21_NeuralNetwork_SelectedFeatures_prediction,-0.005531347455575842
14_DecisionTree_prediction,-0.0048163766142747975
roof_cover,-0.0037233590572957275
12_RandomForest_prediction,-0.0034114408587111677
wall_cladding,-0.002910957418534399
mindist,-0.001982498874484906
6_Default_RandomForest_prediction,-0.0019239827125870357
wall_structure,-0.001480843763873607
18_NeuralNetwork_prediction,-0.0011812947553097696
mwfrs,-0.00117238641044779
10_RandomForest_SelectedFeatures_prediction,-0.000842463016247319
20_RandomForest_SelectedFeatures_prediction,-0.0007653288639817513
2_DecisionTree_prediction,-0.0002938464494089521
understory_pct_of_building_footprint,-0.00028526108487267885
hazards_present,-7.153791735993175e-05
17_NeuralNetwork_prediction,-7.100965355827382e-05
wall_substrate,0.0007957859271772394
number_of_stories,0.0010185619301884441
23_NeuralNetwork_prediction,0.0011749769222954786
building_type,0.0012120280112208892
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.0013456575108429457
roof_shape,0.0014027971689127728
Buildinglong,0.0015778149316624246
roof_system,0.0017392090833933005
3_Linear_prediction,0.00200115155408358
16_NeuralNetwork_SelectedFeatures_prediction,0.002160624666899591
roof_substrate_type,0.002234526787155533
4_Default_Xgboost_categorical_mix_prediction,0.002324527850857827
11_RandomForest_prediction,0.002379319826226178
13_DecisionTree_prediction,0.00251193355200926
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0026118784959946128
9_RandomForest_SelectedFeatures_prediction,0.002695937077572874
22_NeuralNetwork_SelectedFeatures_prediction,0.0039746106509840114
15_NeuralNetwork_SelectedFeatures_prediction,0.004232109106579873
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.005594822352337769
4_Default_Xgboost_GoldenFeatures_prediction,0.00585951512027223
foundation_type,0.008401332220899605
6_Default_RandomForest_SelectedFeatures_prediction,0.010572548019831296
year_built,0.013637016664211132
4_Default_Xgboost_prediction,0.01518520339535634
6_Default_RandomForest_GoldenFeatures_prediction,0.026354695814562522
8_Xgboost_GoldenFeatures_prediction,0.035107413052596716
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.09613868892567315
Ensemble_prediction,0.14847441783279275
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.2984769067625053
