feature,mean_importance
8_Xgboost_GoldenFeatures_prediction,-0.04744669120213665
21_NeuralNetwork_SelectedFeatures_prediction,-0.03151969922209648
hazards_present,-0.008716571493332936
20_RandomForest_SelectedFeatures_prediction,-0.007533410396332996
24_NeuralNetwork_prediction,-0.007007929848963456
4_Default_Xgboost_GoldenFeatures_prediction,-0.006738268132664227
10_RandomForest_SelectedFeatures_prediction,-0.003845544611601781
6_Default_RandomForest_GoldenFeatures_prediction,-0.0028690273264516675
22_NeuralNetwork_SelectedFeatures_prediction,-0.002803012249724546
mindist_ratio_year_built,-0.0021471289198150556
roof_substrate_type_Unknown,-0.001747405747176045
13_DecisionTree_prediction,-0.0017251086272104476
number_of_stories_ratio_year_built,-0.0014201357113833746
5_Default_NeuralNetwork_prediction,-0.0007970759324348098
23_NeuralNetwork_prediction,-0.0005221342404629237
2_DecisionTree_prediction,-0.00036054238213865106
roof_shape_Gable,-0.00031821351956191625
"wall_substrate_""Wood, sheathing (continuous)""",-0.0002691102087763575
mindist_multiply_year_built,-0.00012112823926651029
roof_shape_Hip,-7.167871603712684e-05
"roof_cover_""Metal, standing seam""",0.0
foundation_type_Wood Piers <= 8 ft,0.0
6_Default_RandomForest_prediction,0.00017572858519989686
17_NeuralNetwork_prediction,0.00027103830766133096
4_Default_Xgboost_prediction,0.0006680102314301273
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.0006692229544996708
Buildinglong,0.0011838740728047803
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.0012428483216331942
mindist,0.0015390553593853217
15_NeuralNetwork_SelectedFeatures_prediction,0.001940062318272351
9_RandomForest_SelectedFeatures_prediction,0.0023454108046295774
14_DecisionTree_prediction,0.002405116877765634
wall_substrate_Not Applicable,0.0025026293058555194
number_of_stories_sum_Buildinglat,0.002561239850815622
"roof_system_""Steel, joists""",0.0035263206966395398
3_Linear_prediction,0.0037325479165894347
11_RandomForest_prediction,0.004201966605875729
6_Default_RandomForest_SelectedFeatures_prediction,0.004269675427294839
Buildinglong_multiply_Buildinglat,0.004352477653662446
number_of_stories_diff_mindist,0.004427559773439116
year_built_ratio_number_of_stories,0.005224961887907997
wall_structure,0.007930335117960352
16_NeuralNetwork_SelectedFeatures_prediction,0.00813722322486945
Buildinglat,0.00872824909517902
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.00945123939977761
year_built,0.009575611407386896
12_RandomForest_prediction,0.014201916347130705
18_NeuralNetwork_prediction,0.016396166497800246
4_Default_Xgboost_categorical_mix_prediction,0.02398222762211477
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.03723948454498018
Ensemble_prediction,0.08543003523611195
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.1803355753131229
