feature,mean_importance
roof_cover,-0.014744587083386796
roof_system,-0.01153529861087912
wall_structure,-0.008181096770321394
22_NeuralNetwork_SelectedFeatures_prediction,-0.0073363626922513525
roof_shape,-0.0045286532733242344
Buildinglong,-0.004164777398536534
14_DecisionTree_prediction,-0.0032655926285791725
11_RandomForest_prediction,-0.001804156977736593
mindist,-0.00160132124941752
wall_substrate,-0.0009322948514472352
year_built,-0.0007248179625069628
21_NeuralNetwork_SelectedFeatures_prediction,0.00019497216764809976
13_DecisionTree_prediction,0.0008403519575001184
4_Default_Xgboost_GoldenFeatures_prediction,0.000892376041460885
roof_substrate_type,0.000941319536765528
2_DecisionTree_prediction,0.0011074001623317287
17_NeuralNetwork_prediction,0.0012967892092416555
24_NeuralNetwork_prediction,0.0015337981804611545
foundation_type,0.001915832545083429
5_Default_NeuralNetwork_prediction,0.0020420376821807195
18_NeuralNetwork_prediction,0.0021290951075972676
3_Linear_prediction,0.002200951807820939
23_NeuralNetwork_prediction,0.0031199976017920682
15_NeuralNetwork_SelectedFeatures_prediction,0.0035009268025510743
16_NeuralNetwork_SelectedFeatures_prediction,0.004498331500574526
6_Default_RandomForest_SelectedFeatures_prediction,0.0055813561234934195
9_RandomForest_SelectedFeatures_prediction,0.005939054859928294
Buildinglat,0.006054558267412036
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0061228389778923645
6_Default_RandomForest_GoldenFeatures_prediction,0.006388772599302994
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.006488695145043311
20_RandomForest_SelectedFeatures_prediction,0.010617863261033245
12_RandomForest_prediction,0.010683520604095387
6_Default_RandomForest_prediction,0.014592664228932817
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.015907639762923996
4_Default_Xgboost_prediction,0.016382866066914213
10_RandomForest_SelectedFeatures_prediction,0.01737469209950495
8_Xgboost_GoldenFeatures_prediction,0.018671532224401856
hazards_present,0.020286888326491816
4_Default_Xgboost_categorical_mix_prediction,0.020868523263837348
Ensemble_prediction,0.027932135849531338
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.02990702206458029
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.04503445953218086
