feature,mean_importance
Buildinglat,-0.007886455770545564
foundation_type,-7.147245798255764e-05
roof_cover,6.622675068255202e-05
understory_pct_of_building_footprint,0.0001261584452007858
number_of_stories,0.00039219239783823135
roof_shape,0.0009318619691095709
wall_substrate,0.0010096007965933128
mwfrs,0.0037238803337656277
wall_cladding,0.0037616574216369214
wall_structure,0.003994520276820346
roof_substrate_type,0.007309098898371969
roof_system,0.01034296650922808
building_type,0.012862740120897586
Buildinglong,0.019046223025855125
hazards_present,0.07777339219672035
year_built,0.12894321962573338
mindist,0.3296267465705259
