feature,shap_importance
mindist,0.3479356117487835
year_built,0.1386025328331009
hazards_present,0.05116225188519325
Buildinglong,0.04454357192696631
building_type,0.02564680606729762
Buildinglat,0.022671277183412275
roof_system,0.02040988646441116
number_of_stories,0.01854435467088084
wall_structure,0.010464939677407048
roof_cover,0.008439153712194272
roof_substrate_type,0.00606056952767768
wall_substrate,0.0058966963004527615
foundation_type,0.0026610056368532213
understory_pct_of_building_footprint,0.002304926188582078
mwfrs,0.002050457973965158
wall_cladding,0.001872307751083629
roof_shape,0.0011337994886321209
