feature,shap_importance
mindist_multiply_year_built,0.26226202584903635
year_built,0.14332429988671078
roof_substrate_type,0.09434427357151348
mindist,0.07911273962422476
number_of_stories_multiply_Buildinglat,0.05150365615758967
roof_system,0.04879073206266772
Buildinglong,0.03819846654428114
hazards_present,0.035927847640933715
year_built_ratio_number_of_stories,0.024681616609054022
wall_substrate,0.0219619894913442
wall_cladding,0.011938326986230543
number_of_stories_ratio_year_built,0.010877819078331083
mwfrs,0.008156972005435597
Buildinglat,0.00274909859937933
roof_cover,0.0
wall_structure,0.0
foundation_type,0.0
number_of_stories_diff_mindist,0.0
Buildinglat_diff_Buildinglong,0.0
roof_shape,0.0
Buildinglong_multiply_Buildinglat,0.0
number_of_stories_sum_Buildinglat,0.0
mindist_ratio_year_built,0.0
understory_pct_of_building_footprint,0.0
number_of_stories,0.0
building_type,0.0
understory_pct_of_building_footprint_diff_mindist,0.0
