feature,mean_importance
number_of_stories_multiply_Buildinglat,-0.0034884549974233403
Buildinglat,-0.0034093846991562816
number_of_stories_sum_Buildinglat,-0.0026125584436059723
Buildinglong_multiply_Buildinglat,-0.00028428639716053804
Buildinglat_diff_Buildinglong,-0.0002090144917145542
number_of_stories,-7.23534317555341e-05
understory_pct_of_building_footprint,-1.1102230246251565e-16
roof_shape,-8.881784197001253e-17
wall_substrate,-4.4408920985006264e-17
foundation_type,6.931700961227971e-05
number_of_stories_diff_mindist,0.00016028418231466278
roof_cover,0.0007818941789776268
wall_structure,0.0008636304011433671
mindist_ratio_year_built,0.0023315681856317825
mwfrs,0.002405610512425005
understory_pct_of_building_footprint_diff_mindist,0.0024549787609301267
building_type,0.0031444258948908786
wall_cladding,0.0039016697593142304
roof_system,0.006515740836099027
roof_substrate_type,0.007144396176780132
year_built_ratio_number_of_stories,0.008035483658460896
number_of_stories_ratio_year_built,0.008728839308194725
Buildinglong,0.011167788198436801
mindist,0.012765476280257948
year_built,0.046693717488487364
hazards_present,0.058104729266172626
mindist_multiply_year_built,0.19991512193402605
