feature,mean_importance
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,-0.011071074319026986
8_Xgboost_GoldenFeatures_prediction,-0.008694163195225979
24_NeuralNetwork_prediction,-0.003113465613672317
year_built_ratio_number_of_stories,-0.002739777150094147
roof_cover,-0.002165109023663381
21_NeuralNetwork_SelectedFeatures_prediction,-0.0018983122963545317
Buildinglat,-0.0005525027348845413
roof_system,-0.0005377732451824268
Buildinglong,-0.0005222918558724476
11_RandomForest_prediction,-0.00043415147389944673
roof_substrate_type,-0.0004273018665020611
17_NeuralNetwork_prediction,-0.0004009096970367221
6_Default_RandomForest_prediction,-0.0003779693671360329
16_NeuralNetwork_SelectedFeatures_prediction,-0.00010949584340080865
mindist_ratio_year_built,-4.405071668844851e-05
22_NeuralNetwork_SelectedFeatures_prediction,-2.2204460492503132e-17
mindist,0.0
5_Default_NeuralNetwork_prediction,0.0
number_of_stories,0.0
wall_substrate,0.0
understory_pct_of_building_footprint,0.0
23_NeuralNetwork_prediction,1.8981909454485192e-06
13_DecisionTree_prediction,8.806038843478525e-06
number_of_stories_multiply_Buildinglat,3.257577408108947e-05
number_of_stories_sum_Buildinglat,8.648665351449481e-05
10_RandomForest_SelectedFeatures_prediction,0.00010540930812263927
14_DecisionTree_prediction,0.0001825248904000043
Buildinglong_multiply_Buildinglat,0.0001856094845608558
understory_pct_of_building_footprint_diff_mindist,0.00023930699844145752
3_Linear_prediction,0.000315544965266934
9_RandomForest_SelectedFeatures_prediction,0.0003240879646939865
mindist_multiply_year_built,0.0003506608734324734
wall_cladding,0.00041953666818101977
number_of_stories_diff_mindist,0.00045241843111683
20_RandomForest_SelectedFeatures_prediction,0.0004886345108844114
wall_structure,0.0006150013073496607
4_Default_Xgboost_prediction,0.0007244580352090857
building_type,0.0008631138070618327
6_Default_RandomForest_GoldenFeatures_prediction,0.0009534242982803143
12_RandomForest_prediction,0.0010967418680380091
hazards_present,0.0011496946046017254
number_of_stories_ratio_year_built,0.00151806519050941
foundation_type,0.0017276650389059789
Buildinglat_diff_Buildinglong,0.0017285831961989296
roof_shape,0.002116041191129181
15_NeuralNetwork_SelectedFeatures_prediction,0.002135254167067768
year_built,0.002790660485806651
18_NeuralNetwork_prediction,0.002953330160445988
2_DecisionTree_prediction,0.0032079173395330508
6_Default_RandomForest_SelectedFeatures_prediction,0.004083434120199181
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.0062285957293337635
mwfrs,0.006659622833022616
4_Default_Xgboost_categorical_mix_prediction,0.008718059149640477
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.008911507501350214
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.012055133811262797
4_Default_Xgboost_GoldenFeatures_prediction,0.01860584060987096
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.13047005412884327
Ensemble_prediction,0.1428510946106148
