feature,mean_importance
Buildinglat,-0.017481105859386024
mindist_ratio_year_built,-0.011030413943504125
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,-0.008981853070110702
3_Linear_prediction,-0.0059598784514797165
8_Xgboost_GoldenFeatures_prediction,-0.005574286142523177
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,-0.004660987567770248
year_built,-0.004427358669650739
5_Default_NeuralNetwork_prediction,-0.0035774954866216735
18_NeuralNetwork_prediction,-0.003505274415383575
22_NeuralNetwork_SelectedFeatures_prediction,-0.0032450526217927544
16_NeuralNetwork_SelectedFeatures_prediction,-0.0029821765510789967
roof_shape_Gable,-0.0018778090388210434
12_RandomForest_prediction,-0.001378552757787821
17_NeuralNetwork_prediction,-0.0010447598468917407
"roof_system_""Steel, joists""",-0.0001200085457429223
number_of_stories_ratio_year_built,-7.826187799873097e-05
2_DecisionTree_prediction,-5.62745781881091e-05
wall_substrate_Not Applicable,0.0
mindist_multiply_year_built,0.0
foundation_type_Wood Piers <= 8 ft,0.0
"wall_substrate_""Wood, sheathing (continuous)""",0.0
mindist,0.0003590947819505308
20_RandomForest_SelectedFeatures_prediction,0.0006673514251070989
roof_shape_Hip,0.0006980346694594353
4_Default_Xgboost_GoldenFeatures_prediction,0.0007698983012495386
13_DecisionTree_prediction,0.0009657642362549623
15_NeuralNetwork_SelectedFeatures_prediction,0.0011845577140759066
Buildinglong,0.0015033098569551707
year_built_ratio_number_of_stories,0.0016364644535305616
24_NeuralNetwork_prediction,0.001692601427237883
21_NeuralNetwork_SelectedFeatures_prediction,0.001696659901885944
number_of_stories_diff_mindist,0.0020528092539703557
Buildinglong_multiply_Buildinglat,0.0021439292601145967
"roof_cover_""Metal, standing seam""",0.002271756511935008
10_RandomForest_SelectedFeatures_prediction,0.002297321393075391
6_Default_RandomForest_GoldenFeatures_prediction,0.00244569635025651
23_NeuralNetwork_prediction,0.0025456443076670387
4_Default_Xgboost_prediction,0.002776539114812726
number_of_stories_sum_Buildinglat,0.0028887878744848104
4_Default_Xgboost_categorical_mix_prediction,0.0032186311320847594
wall_structure,0.003266836891777758
6_Default_RandomForest_prediction,0.0033459280466062056
11_RandomForest_prediction,0.003809953746560857
roof_substrate_type_Unknown,0.0038445581119867177
9_RandomForest_SelectedFeatures_prediction,0.005283119296781202
hazards_present,0.006808676197589803
14_DecisionTree_prediction,0.007548605789629947
6_Default_RandomForest_SelectedFeatures_prediction,0.010676489307294456
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.01116048653662569
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.02216069586608833
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.036423949414739434
Ensemble_prediction,0.33015586526057267
