feature,mean_importance
14_DecisionTree_prediction,-0.008948956304989686
10_RandomForest_SelectedFeatures_prediction,-0.008772446225094788
Buildinglong,-0.008308191807777133
16_NeuralNetwork_SelectedFeatures_prediction,-0.006544173996239566
6_Default_RandomForest_prediction,-0.005809540261789236
roof_shape_Gable,-0.005404855500217143
23_NeuralNetwork_prediction,-0.005404628531848821
18_NeuralNetwork_prediction,-0.0038417596272457776
year_built_ratio_number_of_stories,-0.003727125502538886
21_NeuralNetwork_SelectedFeatures_prediction,-0.003167401921075008
4_Default_Xgboost_prediction,-0.0028004018128052087
year_built,-0.0026458151038357912
Buildinglat,-0.0023586977244658414
22_NeuralNetwork_SelectedFeatures_prediction,-0.0022089669274433232
roof_cover_Asphalt shingles (3-tab),-0.0014619036669834885
"roof_system_""Wood, unknown""",-0.0013962691717579467
roof_shape_Complex,-0.0012773669990636006
mindist_multiply_year_built,-0.0011917036299365468
foundation_type_Crawlspace,-0.0007790803479585939
wall_substrate_Unknown,-0.0006257842719509909
understory_pct_of_building_footprint,-0.0005249092592032989
roof_shape_Gable/Hip Combo,-0.0005040307904900842
number_of_stories,-0.0004910720586937644
foundation_type_Reinforced masonry piers,-0.0004327890736978146
wall_structure,-0.000258358926587543
roof_shape_Flat,-0.00017862834095310197
roof_substrate_type_Plywood/OSB,-0.0001768128295329463
foundation_type_Wood Piers > 8 ft,-0.0001724619642330616
roof_substrate_type_Plywood,-0.00015310782654593958
roof_cover_Unknown,-0.0001372049359586125
"roof_cover_""Metal, standing seam""",-3.5923268309434595e-05
"roof_shape_Complex,Gable",-5.129932689040828e-06
foundation_type_Unreinforced masonry stem wall,0.0
roof_cover_Roll roofing,0.0
wall_substrate_Thin aluminum siding,0.0
"wall_substrate_Not Applicable,Wood Beams",0.0
"roof_cover_Wood shake,Wood shingle",0.0
wall_substrate_Not Applicable,0.0
foundation_type_Unreinforced masonry piers,0.0
roof_cover_Tile Slate Roof Cover,0.0
foundation_type_Wood Piers <= 8 ft,0.0
wall_substrate_Metal panels,0.0
"roof_system_""Steel, cold formed""",0.0
"wall_substrate_""Wood, sheathing""",0.0
"wall_substrate_""Wood, sheathing (corners only)""",0.0
"wall_substrate_""Wood, dimensional planks""",0.0
foundation_type_helical anchors spaced irregulary,0.0
wall_substrate_None,0.0
wall_substrate_Insulated foam board,0.0
roof_cover_Red composite shingle,0.0
"roof_system_""Steel, cold formed"",Concrete slab",0.0
roof_substrate_type_None,0.0
roof_substrate_type_Metal deck,0.0
roof_substrate_type_Dimensional lumber,0.0
roof_system_Unknown,0.0
roof_system_Concrete slab,0.0
