feature,mean_importance
understory_pct_of_building_footprint,-0.00566878907967241
Buildinglong,-0.004047854014229246
roof_cover,-0.0034430148996920985
wall_substrate,0.0007414209569557961
roof_shape,0.005776433655710411
wall_cladding,0.007742299879082637
year_built,0.00799617510054813
Buildinglat,0.009048205223354477
roof_substrate_type,0.009983768096939061
roof_system,0.012598506683637822
number_of_stories,0.01858075126834837
foundation_type,0.019501649205246753
mwfrs,0.022097564646064338
building_type,0.02583675657790554
wall_structure,0.026916254129632833
hazards_present,0.05290171309123872
mindist,0.21838229403536044
