feature,mean_importance
mwfrs,-0.003978574225882436
roof_cover,-0.002484642125728609
understory_pct_of_building_footprint,8.342903451770134e-05
wall_substrate,0.0005052586813935722
roof_shape,0.002899208646111262
roof_substrate_type,0.0068284699145486185
wall_structure,0.01162265596144354
foundation_type,0.012198432760328925
number_of_stories,0.01391862925110754
Buildinglat,0.017124321305451363
roof_system,0.017963299593504845
wall_cladding,0.01968433237752003
building_type,0.027700282357821092
Buildinglong,0.037781602112936505
hazards_present,0.11116131287412494
year_built,0.19396686727384566
mindist,0.3019878097755069
