feature,mean_importance
wall_structure,-0.007786468473278773
understory_pct_of_building_footprint,-0.007215213358907358
mwfrs,-0.00301507474002185
number_of_stories_ratio_understory_pct_of_building_footprint,-0.00024422370528758285
understory_pct_of_building_footprint_multiply_number_of_stories,-0.00017274870710854985
Buildinglat_ratio_number_of_stories,0.0
wall_substrate,7.275100481729524e-06
number_of_stories_multiply_Buildinglat,0.0005879887079788482
number_of_stories,0.0005887623560631106
understory_pct_of_building_footprint_sum_number_of_stories,0.0006132117772507329
Buildinglong_ratio_understory_pct_of_building_footprint,0.0007184497885785567
Buildinglat_diff_number_of_stories,0.0016614494371717913
year_built_ratio_understory_pct_of_building_footprint,0.0030170367683394874
roof_shape,0.010062078525454377
building_type,0.011985476213996727
Buildinglat,0.014139085989129807
wall_cladding,0.017129162515876706
number_of_stories_ratio_Buildinglat,0.017917928478475353
roof_cover,0.021684021048121595
foundation_type,0.02246850617861349
roof_system,0.024797473045981632
hazards_present,0.03678337053979859
Buildinglong,0.03954625149273276
roof_substrate_type,0.041989039301367194
number_of_stories_sum_Buildinglat,0.05163476655922707
year_built,0.1740682214561661
mindist,0.3027600596579961
