feature,mean_importance
wall_cladding,-0.0058864773183955775
wall_structure,-0.00341427292608758
foundation_type,-0.0021959260769934376
roof_cover,1.7763568394002506e-16
wall_substrate,1.7763568394002506e-16
roof_substrate_type,2.220446049250313e-16
mwfrs,3.552713678800501e-16
understory_pct_of_building_footprint,3.9968028886505636e-16
roof_shape,0.002764941041258817
building_type,0.0029330291544830355
Buildinglong,0.004058500546746791
roof_system,0.0055494602673724636
number_of_stories,0.006061903497939935
Buildinglat,0.006432218121451072
hazards_present,0.04180658224736624
year_built,0.1983178350642239
mindist,0.37129087468585026
