feature,shap_importance
surge_damage_rating_sum_wind_damage_rating,6.3479786
wind_damage_rating,5.8254004
surge_damage_rating_ratio_Buildinglat,0.9145868
mindist,0.66138184
year_built,0.6365157
Unnamed0,0.62912583
hazards_present,0.5541141
foundation_type,0.51768625
longitude,0.4988757
roof_shape,0.43979058
understory_pct_of_building_footprint,0.40255684
wall_cladding,0.38107985
longitude_diff_surge_damage_rating,0.35723558
roof_substrate_type,0.3276707
surge_damage_rating_multiply_wind_damage_rating,0.31794748
roof_cover,0.21961978
roof_system,0.2173062
number_of_stories_ratio_surge_damage_rating,0.20700899
surge_damage_rating,0.20546715
wall_substrate,0.1995333
surge_damage_rating_diff_Buildinglong,0.18077505
building_type,0.15889172
wall_structure,0.15796804
rainwater_ingress_damage_rating,0.13475437
mwfrs,0.12184028
Buildinglat,0.094770364
number_of_stories,0.09365308
Buildinglong,0.048135273
rainwater_ingress_damage_rating_multiply_surge_damage_rating,0.030206524
Buildinglong_multiply_surge_damage_rating,0.023274086
surge_damage_rating_multiply_Buildinglat,0.005368772
surge_damage_rating_ratio_rainwater_ingress_damage_rating,0.0012359987
