feature,mean_importance
year_built,-0.011076687288991449
surge_damage_rating_ratio_Buildinglat,-0.008992127193358967
mindist,-0.008305417642123591
longitude_diff_surge_damage_rating,-0.007650606612027678
roof_cover,-0.007632648124028041
foundation_type,-0.00736637910417578
longitude,-0.005963989890227861
roof_shape,-0.005341663962956178
surge_damage_rating_diff_Buildinglong,-0.003290393661265634
building_type,-0.0018604990347461992
mwfrs,-0.0014123831417853228
wall_structure,-0.0009965101541098641
number_of_stories,-0.0008705036241118957
surge_damage_rating_multiply_Buildinglat,-0.0006198590210938603
Buildinglong,-0.0005563269164097218
roof_system,-0.00010150912833413183
Buildinglat,4.1359391505457754e-05
surge_damage_rating_ratio_rainwater_ingress_damage_rating,4.2291553848905485e-05
Buildinglong_multiply_surge_damage_rating,0.00017409418093958796
rainwater_ingress_damage_rating_multiply_surge_damage_rating,0.0003651741292264754
rainwater_ingress_damage_rating,0.0014700859974501879
wall_cladding,0.0017362300969534284
wall_substrate,0.0025929401076193793
understory_pct_of_building_footprint,0.004444271316594006
roof_substrate_type,0.008449702514177681
surge_damage_rating_multiply_wind_damage_rating,0.014942729324733816
number_of_stories_ratio_surge_damage_rating,0.018609491505233933
hazards_present,0.018809925575377605
Unnamed0,0.019287957945617596
surge_damage_rating,0.07701058552237387
wind_damage_rating,0.5547662247698438
surge_damage_rating_sum_wind_damage_rating,0.6649274578633703
