feature,mean_importance
wall_cladding,-0.10044388309498657
roof_shape,-0.07710977685984824
building_type,-0.04053413682773539
Unnamed0,-0.026648155193087497
understory_pct_of_building_footprint,-0.009116497560373115
mwfrs,-0.007843203397834397
year_built,-0.007154716548750173
longitude,-0.0012843366077957441
roof_cover,-0.001169131651223143
roof_substrate_type,0.022329052243491
mindist,0.027638995040597837
hazards_present,0.034605436325872804
wall_substrate,0.03692986928235702
Buildinglat,0.037343079495376894
Buildinglong,0.03885635702678085
number_of_stories,0.04389434425701126
roof_system,0.059427936931560586
wall_structure,0.08447747476161589
foundation_type,0.1003855190920421
rainwater_ingress_damage_rating,0.11528056007750806
surge_damage_rating,2.9766234662852513
wind_damage_rating,4.683796517912478
