feature,shap_importance
wind_damage_rating,13.01279494067224
surge_damage_rating,8.625740692682095
Buildinglat,1.8560417780293748
Unnamed0,1.8354062901523185
number_of_stories,0.8680094423921645
wall_structure,0.7910715707186822
roof_system,0.7636464893010705
mindist,0.7062068325143805
longitude,0.5269577404857108
Buildinglong,0.5171414215010214
wall_cladding,0.5020161826669534
hazards_present,0.4757346078745624
foundation_type,0.444326235376035
roof_shape,0.43369983466939466
building_type,0.38806014471087064
roof_cover,0.36290058423434973
wall_substrate,0.333173372582771
rainwater_ingress_damage_rating,0.3319836465617666
roof_substrate_type,0.3184843379547748
understory_pct_of_building_footprint,0.29442856021102737
mwfrs,0.29145836069895303
year_built,0.1622461434192795
