feature,mean_importance
wall_substrate,-0.00874736200502193
building_type,-0.0061878378573172466
roof_substrate_type,-0.0016574803227789702
longitude,-0.0010457344133447898
Buildinglong,-0.0010373598016581553
understory_pct_of_building_footprint,-9.429483012783902e-05
rainwater_ingress_damage_rating,-3.6082321973429646e-05
year_built,0.0003069305581611115
roof_shape,0.002898008984016731
wall_cladding,0.0056032863323953516
roof_cover,0.006177573927153479
hazards_present,0.008845242651014228
roof_system,0.010049159411993136
wall_structure,0.01693860347600711
mwfrs,0.017697017692982552
foundation_type,0.02264529135175879
number_of_stories,0.022815084444194556
mindist,0.04245813696879015
Unnamed0,0.075507144167797
Buildinglat,0.13585970887658416
wind_damage_rating,2.006755488162914
surge_damage_rating,2.301796740010107
