feature,shap_importance
wind_damage_rating,9.116055
surge_damage_rating,3.3355565
mindist,0.8006887
Unnamed0,0.6351973
longitude,0.60814893
year_built,0.4071283
hazards_present,0.39111263
understory_pct_of_building_footprint,0.36045802
wall_cladding,0.32860368
roof_system,0.32347992
roof_shape,0.27853867
roof_cover,0.27742085
foundation_type,0.26712555
rainwater_ingress_damage_rating,0.20893306
roof_substrate_type,0.20704496
wall_substrate,0.1986725
wall_structure,0.08623475
number_of_stories,0.08094012
building_type,0.071635835
mwfrs,0.03038602
Buildinglong,0.0030499452
Buildinglat,0.0
