feature,mean_importance
roof_system,-0.032536736927074164
longitude,-0.02118507411678211
foundation_type,-0.007041528221945914
rainwater_ingress_damage_rating,-0.0035046376082730757
understory_pct_of_building_footprint,-0.00194989651978269
wall_cladding,-0.0017290325527537398
wall_structure,-0.0016416973205504392
number_of_stories,-0.0012856407998666608
Buildinglat,0.0
Buildinglong,8.71813114162734e-06
building_type,4.20360336616854e-05
roof_shape,0.0005715043362924388
roof_substrate_type,0.0017966654491058166
mwfrs,0.001871896090017522
wall_substrate,0.002283981146480307
year_built,0.0035367731186482176
roof_cover,0.004508365584947794
mindist,0.012675184052500676
Unnamed0,0.02870647922647579
hazards_present,0.03752669713112635
surge_damage_rating,1.0791676342732006
wind_damage_rating,2.6762113247879675
