feature,shap_importance
surge_damage_rating_sum_wind_damage_rating,6.9308777
wind_damage_rating,5.0024457
Unnamed0,0.6388625
longitude,0.6026014
hazards_present,0.5743078
longitude_diff_surge_damage_rating,0.57256085
wall_cladding,0.5179629
foundation_type,0.49600857
surge_damage_rating_ratio_Buildinglat,0.4528702
mindist,0.4184872
roof_shape,0.33740675
understory_pct_of_building_footprint,0.31780592
roof_system,0.2826926
surge_damage_rating_multiply_wind_damage_rating,0.27592546
number_of_stories_ratio_surge_damage_rating,0.25486514
roof_substrate_type,0.24511456
year_built,0.23595919
building_type,0.18164697
roof_cover,0.120288864
surge_damage_rating,0.113381684
number_of_stories,0.0862048
surge_damage_rating_diff_Buildinglong,0.084165625
wall_substrate,0.04790914
mwfrs,0.03525307
rainwater_ingress_damage_rating,0.033426173
surge_damage_rating_multiply_Buildinglat,0.033237927
wall_structure,0.02898545
Buildinglong_multiply_surge_damage_rating,0.019538876
rainwater_ingress_damage_rating_multiply_surge_damage_rating,0.0066331327
Buildinglong,0.0
Buildinglat,0.0
surge_damage_rating_ratio_rainwater_ingress_damage_rating,0.0
