feature,mean_importance
longitude_diff_surge_damage_rating,-0.009065652247202616
foundation_type,-0.008446989069550747
surge_damage_rating_ratio_Buildinglat,-0.007720513944908747
year_built,-0.00752574722519368
roof_cover,-0.005426200119368119
longitude,-0.004710391845743544
mindist,-0.003662205058134227
roof_shape,-0.0032709980667647853
wall_structure,-0.0014737348940413119
mwfrs,-0.0010118318437519868
building_type,-0.0007650589728254609
Buildinglong_multiply_surge_damage_rating,-0.0007247046204441832
surge_damage_rating_diff_Buildinglong,-0.0004190515474242984
surge_damage_rating_multiply_Buildinglat,-0.0003918904495441522
number_of_stories,-4.538278079641023e-05
Buildinglat,0.0
Buildinglong,0.0
surge_damage_rating_ratio_rainwater_ingress_damage_rating,0.0
rainwater_ingress_damage_rating_multiply_surge_damage_rating,0.00014523606179122072
rainwater_ingress_damage_rating,0.0009689104632805923
wall_substrate,0.0010213385257175078
roof_system,0.0018078741380723518
wall_cladding,0.006564123663356736
understory_pct_of_building_footprint,0.006621827387203583
roof_substrate_type,0.009702921892374228
hazards_present,0.025559142187742846
Unnamed0,0.030555014684796312
surge_damage_rating_multiply_wind_damage_rating,0.032134716035956024
number_of_stories_ratio_surge_damage_rating,0.040807743812516575
surge_damage_rating,0.0974054220558728
wind_damage_rating,0.6192281974321705
surge_damage_rating_sum_wind_damage_rating,0.826333104661208
