feature,shap_importance
surge_damage_rating_sum_wind_damage_rating,5.929884
wind_damage_rating,5.5858855
Unnamed0,0.87027174
mindist,0.76726896
longitude_diff_surge_damage_rating,0.6852801
surge_damage_rating,0.6668487
hazards_present,0.46705776
surge_damage_rating_ratio_Buildinglat,0.42255175
number_of_stories_ratio_surge_damage_rating,0.4046855
wall_substrate,0.3782797
surge_damage_rating_multiply_wind_damage_rating,0.36332005
roof_substrate_type,0.26222622
rainwater_ingress_damage_rating,0.11451412
surge_damage_rating_diff_Buildinglong,0.07925234
Buildinglong_multiply_surge_damage_rating,0.05204665
surge_damage_rating_multiply_Buildinglat,0.0377072
rainwater_ingress_damage_rating_multiply_surge_damage_rating,0.016094772
Buildinglat,0.0014441371
surge_damage_rating_ratio_rainwater_ingress_damage_rating,0.0
