feature,mean_importance
longitude,-0.023274773008868866
wall_cladding,-0.017341260592279563
rainwater_ingress_damage_rating,-0.008377733850314973
"roof_system_""Wood, trusses""",-0.007711893352443133
"roof_system_""Wood, unknown""",-0.007601874890753013
foundation_type_Slab-on-grade,-0.004511850904989045
roof_shape_Hip,-0.003961125065146365
year_built,-0.0030962514825228493
roof_substrate_type_Unknown,-0.002559017881719494
number_of_stories,-0.002234422453379248
wall_structure,-0.001689572333184597
understory_pct_of_building_footprint,-0.0012936357006241295
foundation_type_Wood Piers > 8 ft,-0.0008620051738127299
foundation_type_Unknown,-0.0006032529539602427
roof_shape_Complex,-0.0004515333740450989
wall_substrate_Not Applicable,-0.00013867943879153355
"roof_cover_""Metal, corrugated""",-3.6224369275372756e-05
wall_substrate_Thin aluminum siding,0.0
"roof_system_""Steel, cold formed""",0.0
"roof_system_""Steel, cold formed"",""Steel, joists""",0.0
"roof_system_""Steel, cold formed"",Concrete slab",0.0
wall_substrate_None at first floor Rc moment frame,0.0
"roof_system_""Steel, hot rolled"",""Steel, joists""",0.0
"roof_system_""Steel, hot rolled"",Z purlins",0.0
"roof_system_""Steel, joists""",0.0
"roof_system_""Wood, rafter""",0.0
"roof_system_""Wood, rafter"",""Wood, trusses""",0.0
wall_substrate_None,0.0
wall_substrate_masonry ,0.0
"wall_substrate_""Wood, dimensional planks""",0.0
roof_substrate_type_Metal deck,0.0
roof_system_Unknown,0.0
roof_cover_Unknown,0.0
roof_cover_Tile Slate Roof Cover,0.0
roof_cover_Red composite shingle,0.0
roof_cover_Other,0.0
roof_cover_Metal shingles,0.0
roof_cover_Clay tiles,0.0
roof_cover_Built-up without Gravel,0.0
roof_cover_Built-up with Gravel,0.0
"roof_cover_Asphalt shingles (laminated),""Metal, standing seam""",0.0
"roof_cover_Asphalt shingles (3-tab),""Metal, standing seam""",0.0
"roof_cover_""Metal, corrugated"",""Metal, standing seam""",0.0
roof_substrate_type_Plywood,0.0
roof_substrate_type_None,0.0
wall_substrate_Metal panels,0.0
roof_substrate_type_Dimensional lumber,0.0
roof_system_Concrete slab,0.0
wall_substrate_Insulated foam board,0.0
roof_cover_composite shingles,0.0
"wall_substrate_""Wood, sheathing (corners only)""",0.0
"roof_shape_Flat,Gable",0.0
Buildinglong,0.0
"roof_shape_Gable,Gambrel",0.0
"roof_shape_Gable,Hip",0.0
"roof_shape_Gable,Monoslope",0.0
"wall_substrate_""Wood, sheathing""",0.0
roof_shape_Gambrel,0.0
"roof_shape_Hip,Curved",0.0
"roof_shape_Hip,Gable",0.0
roof_shape_Monoslope,0.0
roof_shape_Unknown,0.0
foundation_type_Cast-in-place concrete piers,0.0
"roof_shape_Complex,Gable",0.0
foundation_type_Concrete piers support cast concrete slab on grade,0.0
foundation_type_Ground anchors and strapping,0.0
"foundation_type_Piers <= 8 ft, unstrapped",0.0
foundation_type_Reinforced masonry piers,0.0
foundation_type_Reinforced masonry stem wall,0.0
foundation_type_Unreinforced masonry piers,0.0
Buildinglat,0.0
foundation_type_Unreinforced masonry stem wall,0.0
foundation_type_helical anchors spaced irregulary,0.0
"roof_cover_Wood shake,Wood shingle",0.0
foundation_type_Crawlspace,0.0
"roof_shape_Complex,Hip",0.0
"wall_substrate_""Wood, sheathing (continuous)""",8.759872545882618e-06
foundation_type_Wood Piers <= 8 ft,4.772657244386247e-05
building_type,0.00028854023144280204
"roof_system_""Steel, hot rolled""",0.0005400047085042603
roof_shape_Gable/Hip Combo,0.0008068018024629309
roof_cover_Asphalt shingles (laminated),0.0010172935013296192
roof_shape_Gable,0.0017991330001061122
"roof_cover_""Metal, standing seam""",0.0018358280089036728
roof_cover_Asphalt shingles (3-tab),0.002119560924879571
wall_substrate_Unknown,0.0022070633957825382
roof_shape_Flat,0.003555523038257724
mwfrs,0.004727654379271584
mindist,0.005267412521702752
roof_substrate_type_Plywood/OSB,0.006499224523934766
Unnamed0,0.025345062035120138
hazards_present,0.028514953708212998
surge_damage_rating,1.134791919119435
wind_damage_rating,2.776039866057335
