feature,mean_importance
hazards_present,-0.07178299241768707
roof_shape,-0.03880179487748494
understory_pct_of_building_footprint,-0.031094257032818606
foundation_type,-0.019855876584871666
building_type,-0.013715692141056213
longitude,-0.010693697477161045
number_of_stories,-0.001804929770215069
wall_cladding,0.002581218961263243
roof_substrate_type,0.022492549073903613
mwfrs,0.023716070415371982
mindist,0.03056174669340439
Buildinglong,0.03209676183635437
wall_substrate,0.04051902211181513
roof_cover,0.0495078929753473
Buildinglat,0.05476387898481634
Unnamed0,0.07520088884695689
wall_structure,0.09582266548572968
rainwater_ingress_damage_rating,0.11280350318609211
year_built,0.15160630702413538
roof_system,0.1701779459670904
surge_damage_rating,2.6226873338055667
wind_damage_rating,5.479922674034289
