feature,shap_importance
wind_damage_rating,1.0964205678771428
surge_damage_rating,0.309732447001996
mindist,0.03458990298843766
roof_substrate_type,0.012673293035156156
year_built,0.010025132173828671
hazards_present,0.009649729262137353
Buildinglat,0.005549622800188831
Buildinglong,0.0046836210350314515
building_type,0.003916899456786536
Unnamed0,0.0034674810308650867
longitude,0.002881598189814037
roof_cover,0.00281143908390838
roof_shape,0.0018753960459960601
wall_substrate,0.001741466969201041
understory_pct_of_building_footprint,0.001270863870142864
roof_system,0.0011078924893031196
mwfrs,0.0008283986897578205
wall_structure,0.0006815733208811042
rainwater_ingress_damage_rating,0.0003328965180182647
number_of_stories,0.0
foundation_type,0.0
wall_cladding,0.0
