feature,shap_importance
surge_damage_rating_sum_wind_damage_rating,0.9456247058267493
wind_damage_rating,0.3086995252162703
surge_damage_rating_ratio_Buildinglat,0.07267892425688544
number_of_stories_ratio_surge_damage_rating,0.058164356380397596
surge_damage_rating_multiply_Buildinglat,0.027925284715285083
Buildinglong_multiply_surge_damage_rating,0.025712312360150775
surge_damage_rating_multiply_wind_damage_rating,0.019085948862119603
surge_damage_rating_diff_Buildinglong,0.015913499564152084
surge_damage_rating,0.014516968208750635
Buildinglat,0.012508122085565947
longitude_diff_surge_damage_rating,0.008504176624947466
hazards_present,0.007921646969494312
Unnamed0,0.007541567898584039
roof_substrate_type,0.005297386136021038
understory_pct_of_building_footprint,0.004669423103440991
surge_damage_rating_ratio_rainwater_ingress_damage_rating,0.004490434465709427
longitude,0.0043018442332158815
rainwater_ingress_damage_rating_multiply_surge_damage_rating,0.003742141298662668
Buildinglong,0.003039512179224693
year_built,0.002838245039094029
foundation_type,0.002605446611005456
mindist,0.002031428921189799
rainwater_ingress_damage_rating,0.0012740585960769079
wall_cladding,0.0009849255869805674
wall_structure,0.0007896157713211068
roof_cover,0.0
roof_system,0.0
number_of_stories,0.0
building_type,0.0
mwfrs,0.0
wall_substrate,0.0
roof_shape,0.0
