feature,mean_importance
Buildinglong,-0.002577033564294384
longitude,-0.0019525753173511018
wall_cladding,-0.0004165876979439931
mwfrs,-4.6140268508065854e-05
building_type,-4.0472595720564276e-05
number_of_stories,-2.2204460492503132e-17
wall_structure,-1.1102230246251566e-17
roof_shape,2.7762501186490153e-05
roof_cover,6.729463980835737e-05
foundation_type,0.00021085307099165672
roof_system,0.00038219007283243347
rainwater_ingress_damage_rating,0.0005359552044547522
wall_substrate,0.0010217227230397198
Buildinglat,0.0011675214516206345
understory_pct_of_building_footprint,0.0011883443093553714
year_built,0.00250712559396733
Unnamed0,0.003258284113716814
roof_substrate_type,0.005919695755991083
mindist,0.014604433906610915
hazards_present,0.07641001108396026
surge_damage_rating,0.5495907498335049
wind_damage_rating,3.0241407022945834
