feature,shap_importance
wind_damage_rating,1.117280504677654
surge_damage_rating,0.31505039262675294
mindist,0.026964531010270118
hazards_present,0.023035190776991885
Buildinglong,0.009191075856503306
year_built,0.007894187099337998
roof_substrate_type,0.0072945579842552425
building_type,0.0061342135563693355
Unnamed0,0.005911299697051707
longitude,0.004790749697124401
wall_cladding,0.004639479729431272
understory_pct_of_building_footprint,0.0023993743715999306
mwfrs,0.0018641021798150768
Buildinglat,0.0018061678806056403
rainwater_ingress_damage_rating,0.001495555883451563
wall_structure,0.0004973700297593309
number_of_stories,0.0
foundation_type,0.0
wall_substrate,0.0
roof_system,0.0
roof_cover,0.0
roof_shape,0.0
