feature,shap_importance
surge_damage_rating_sum_wind_damage_rating,6.6164293
wind_damage_rating,4.0201287
mindist,0.8563774
Unnamed0,0.8467928
longitude_diff_surge_damage_rating,0.7137955
surge_damage_rating_ratio_Buildinglat,0.65141463
hazards_present,0.4901925
roof_substrate_type,0.40220422
surge_damage_rating_multiply_wind_damage_rating,0.37576357
surge_damage_rating,0.2192964
rainwater_ingress_damage_rating,0.21464898
surge_damage_rating_diff_Buildinglong,0.21318844
number_of_stories_ratio_surge_damage_rating,0.19607851
wall_substrate,0.15088962
Buildinglong_multiply_surge_damage_rating,0.10690065
Buildinglat,0.07470509
rainwater_ingress_damage_rating_multiply_surge_damage_rating,0.053960465
surge_damage_rating_ratio_rainwater_ingress_damage_rating,0.009872175
surge_damage_rating_multiply_Buildinglat,0.0002564208
