feature,mean_importance
11_RandomForest_GoldenFeatures_prediction,-0.0011405076553782424
12_RandomForest_GoldenFeatures_prediction,-0.0009529019036436187
hazards_present,-0.0006210912729252254
7_CatBoost_SelectedFeatures_prediction,-0.0005029814254829623
roof_system,-0.0003848501405313176
8_CatBoost_SelectedFeatures_prediction,-0.00023202840160137795
Buildinglong,-0.00019867284968926868
wall_structure,-0.00015224463870560644
3_Default_LightGBM_GoldenFeatures_prediction,-0.0001495303571717954
roof_substrate_type,-0.0001142435032316147
1_DecisionTree_prediction,-0.00010516935424810803
rainwater_ingress_damage_rating,-7.142419266251143e-05
roof_shape,-4.362823848227393e-05
building_type,-1.4496997643820286e-05
roof_cover,0.0
number_of_stories,0.0
wall_cladding,2.7755575615628915e-18
21_DecisionTree_prediction,8.326672684688674e-18
foundation_type,1.1102230246251566e-17
wall_substrate,1.6653345369377347e-17
mwfrs,9.053621959353997e-07
year_built,2.989130182488031e-05
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,5.115693614376193e-05
6_Default_RandomForest_GoldenFeatures_prediction,8.346628796973565e-05
mindist,8.730078341429026e-05
22_DecisionTree_prediction,8.877078440658604e-05
surge_damage_rating,0.00010850555870283717
15_CatBoost_prediction,0.00015242221968262415
wind_damage_rating,0.00019479931412309527
understory_pct_of_building_footprint,0.0002037779273619894
2_Linear_prediction,0.0002262266480215519
5_Default_CatBoost_GoldenFeatures_prediction,0.0002935161364800654
longitude,0.0003531270200665071
24_RandomForest_GoldenFeatures_prediction,0.0006665903975681453
Buildinglat,0.0010910369426229
Ensemble_prediction,0.0011553841137973947
25_Xgboost_SelectedFeatures_prediction,0.0012243183614166625
27_LightGBM_GoldenFeatures_prediction,0.0012285416873459658
Unnamed0,0.0013362173168797536
16_CatBoost_prediction,0.0013669121762571596
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0014093941121029769
9_RandomForest_prediction,0.0018746307233328513
18_LightGBM_prediction,0.0019313857883365899
23_CatBoost_SelectedFeatures_prediction,0.0019719003650595117
6_Default_RandomForest_prediction,0.0022759106096577357
17_LightGBM_prediction,0.002911399442299892
13_LightGBM_GoldenFeatures_prediction,0.0032763205120491883
14_LightGBM_GoldenFeatures_prediction,0.0035868739379132848
20_Xgboost_prediction,0.0036341427704145862
26_Xgboost_prediction,0.004018430753626309
5_Default_CatBoost_prediction,0.00406856666907702
10_RandomForest_prediction,0.004408402425999799
5_Default_CatBoost_SelectedFeatures_prediction,0.0059949959848545065
19_Xgboost_SelectedFeatures_prediction,0.00800056446680133
4_Default_Xgboost_categorical_mix_prediction,0.026249480010344616
6_Default_RandomForest_SelectedFeatures_prediction,0.04221708370920185
4_Default_Xgboost_prediction,0.06010681297652691
3_Default_LightGBM_prediction,0.08602606777717807
