feature,shap_importance
surge_damage_rating_sum_wind_damage_rating,0.45657643415756516
Buildinglat_diff_wind_damage_rating,0.1550134747248257
Buildinglat_ratio_wind_damage_rating,0.13822021849669391
surge_damage_rating,0.10182682066265357
wind_damage_rating_ratio_Buildinglat,0.04034418564636091
wind_damage_rating_multiply_Buildinglat,0.02314881345858431
wind_damage_rating_ratio_Buildinglong,0.02280572474911769
Buildinglong_multiply_wind_damage_rating,0.017656573337332324
wind_damage_rating_ratio_longitude,0.012903605132166285
longitude_diff_wind_damage_rating,0.010982955431042043
mindist,0.010155580160511277
wind_damage_rating_multiply_longitude,0.005919236850076877
understory_pct_of_building_footprint,0.0056912676896238865
wind_damage_rating,0.005241189084537346
Unnamed0,0.0019314612291572515
wall_structure,0.001825339737292546
roof_system,0.001713239226355837
hazards_present,0.0016114017671492503
year_built,0.0012240997026409166
wall_substrate,0.0008860376522483357
mwfrs,0.000752122341096327
Buildinglat,0.000647426642434803
roof_substrate_type,0.00044916283013190865
building_type,0.0003987965316933926
rainwater_ingress_damage_rating,0.0002095456052901452
longitude,7.522801090868701e-19
wall_cladding,2.214345114991581e-19
foundation_type,2.113275420946322e-19
Buildinglong,0.0
roof_shape,0.0
roof_cover,0.0
number_of_stories,0.0
