feature,mean_importance
wind_damage_rating_ratio_longitude,-0.0016040951047012419
roof_system,-0.0009201922117879236
hazards_present,-0.0008273453196538105
roof_shape,-0.0007454164462496832
6_Default_RandomForest_prediction,-0.0007420536836252711
19_Xgboost_SelectedFeatures_prediction,-0.0007020217811952167
mindist,-0.0004293581190656537
longitude,-0.00038049475217758757
wall_structure,-0.0002881705065227502
20_Xgboost_prediction,-0.00026396173646869023
wind_damage_rating_ratio_Buildinglat,-0.00019881977656968086
roof_cover,-0.00010404596668361354
longitude_diff_wind_damage_rating,-6.231174830551578e-05
17_LightGBM_prediction,-4.654701715047227e-05
wind_damage_rating,-2.7755575615628915e-18
8_CatBoost_SelectedFeatures_prediction,0.0
22_DecisionTree_prediction,0.0
surge_damage_rating_sum_wind_damage_rating,0.0
surge_damage_rating,0.0
foundation_type,0.0
number_of_stories,0.0
understory_pct_of_building_footprint,0.0
wall_substrate,0.0
year_built,0.0
building_type,0.0
wall_cladding,0.0
wind_damage_rating_multiply_longitude,2.7755575615628915e-18
21_DecisionTree_prediction,2.7755575615628915e-18
14_LightGBM_GoldenFeatures_prediction,2.7755575615628915e-18
Buildinglong_multiply_wind_damage_rating,5.551115123125783e-18
13_LightGBM_GoldenFeatures_prediction,5.551115123125783e-18
rainwater_ingress_damage_rating,6.924957396362008e-05
Buildinglat,7.916649223437545e-05
Unnamed0,0.00010956034559125582
1_DecisionTree_prediction,0.00011875385239122904
wind_damage_rating_multiply_Buildinglat,0.00020432053163425278
6_Default_RandomForest_GoldenFeatures_prediction,0.00026250722618933743
Buildinglong,0.00027658262761551256
roof_substrate_type,0.0003074479031006716
23_CatBoost_SelectedFeatures_prediction,0.0003240884841416547
15_CatBoost_prediction,0.0004356419852306448
5_Default_CatBoost_SelectedFeatures_prediction,0.0005077642602040855
mwfrs,0.0006274165966783818
26_Xgboost_prediction,0.0007714793102189754
Buildinglat_ratio_wind_damage_rating,0.0007867473952925336
7_CatBoost_SelectedFeatures_prediction,0.001042568959000395
wind_damage_rating_ratio_Buildinglong,0.0010971974564133124
2_Linear_prediction,0.0014441763440415784
3_Default_LightGBM_GoldenFeatures_prediction,0.0017587444315379703
27_LightGBM_GoldenFeatures_prediction,0.0024104018909037656
3_Default_LightGBM_prediction,0.002520290274657386
18_LightGBM_prediction,0.0025498196155565424
25_Xgboost_SelectedFeatures_prediction,0.0028627918962728705
12_RandomForest_GoldenFeatures_prediction,0.0030990041705039606
24_RandomForest_GoldenFeatures_prediction,0.0036174871603550816
5_Default_CatBoost_GoldenFeatures_prediction,0.003861448958581498
Ensemble_prediction,0.004280018769630559
4_Default_Xgboost_categorical_mix_prediction,0.0048216062919467645
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.005088638051351365
10_RandomForest_prediction,0.006131663747263286
4_Default_Xgboost_prediction,0.006500183379854274
6_Default_RandomForest_SelectedFeatures_prediction,0.007045533381939098
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.007207518713162659
Buildinglat_diff_wind_damage_rating,0.007819529048071506
11_RandomForest_GoldenFeatures_prediction,0.009215030947895084
16_CatBoost_prediction,0.019207360151460882
9_RandomForest_prediction,0.023545615045030353
5_Default_CatBoost_prediction,0.02764219576540794
