feature,mean_importance
roof_cover,-0.0002979147147483846
building_type,-0.00022032796146076173
foundation_type,-0.00020527737534883073
understory_pct_of_building_footprint,-8.715976024901706e-05
mwfrs,-5.042048831177815e-05
hazards_present,-3.577697015968717e-05
Buildinglong,-5.551115123125783e-18
wind_damage_rating,0.0
wind_damage_rating_ratio_Buildinglong,0.0
longitude,0.0
number_of_stories,0.0
roof_shape,0.0
wall_cladding,0.0
year_built,1.3056195799079907e-05
wall_structure,1.3759748935962546e-05
rainwater_ingress_damage_rating,0.00012420192936918317
roof_substrate_type,0.00024349104049099514
Buildinglat,0.0003415606644785435
Unnamed0,0.0003628221695696016
mindist,0.00043346524856154034
wall_substrate,0.0008621641390898743
roof_system,0.0010683657974090376
wind_damage_rating_multiply_longitude,0.0014120881007434667
Buildinglong_multiply_wind_damage_rating,0.002258200307354646
longitude_diff_wind_damage_rating,0.0034846249561430844
wind_damage_rating_ratio_longitude,0.004292877442564102
wind_damage_rating_ratio_Buildinglat,0.005728371706287388
wind_damage_rating_multiply_Buildinglat,0.0059367973972051236
Buildinglat_diff_wind_damage_rating,0.016649437022546627
surge_damage_rating,0.023227022522506476
Buildinglat_ratio_wind_damage_rating,0.2400923377824853
surge_damage_rating_sum_wind_damage_rating,1.437207783771022
