feature,shap_importance
surge_damage_rating_sum_wind_damage_rating,0.4356117474838165
wind_damage_rating_ratio_Buildinglat,0.106811472010296
surge_damage_rating,0.09354508735304773
Buildinglat_ratio_wind_damage_rating,0.09240775082378273
wind_damage_rating,0.03569082431563402
longitude_diff_wind_damage_rating,0.03190822280086896
wind_damage_rating_ratio_Buildinglong,0.0258694607146726
Buildinglat_diff_wind_damage_rating,0.020763024688432035
hazards_present,0.015479939149056942
wind_damage_rating_multiply_Buildinglat,0.014178360893845469
mindist,0.010713936667150535
year_built,0.010146517114794959
Unnamed0,0.008749689870496229
roof_shape,0.00819145240564151
wind_damage_rating_multiply_longitude,0.007328204145878459
wall_cladding,0.005353318301157026
longitude,0.0052675231989941515
roof_system,0.004777216695105279
roof_substrate_type,0.004271429740701456
number_of_stories,0.0031632570669514774
foundation_type,0.0029432282279151564
rainwater_ingress_damage_rating,0.002902125499690966
mwfrs,0.002808786396660699
Buildinglat,0.00273349546056179
wall_substrate,0.0026508890731184636
roof_cover,0.0023220649811902415
Buildinglong,0.0020607021862824927
wind_damage_rating_ratio_longitude,0.0019836840296749837
building_type,0.0018886720121863894
Buildinglong_multiply_wind_damage_rating,0.0010928788530389791
wall_structure,0.0008326894427906777
understory_pct_of_building_footprint,0.0003251040161596505
