feature,mean_importance
longitude,-0.002395045225105036
roof_system,-0.001540165709715019
13_LightGBM_GoldenFeatures_prediction,-0.0006227106911446429
wind_damage_rating_multiply_longitude,-0.0005386645983076699
year_built,-0.0005296911531005116
15_CatBoost_prediction,-0.00045072349962136103
Unnamed0,-0.0003424925393901712
19_Xgboost_SelectedFeatures_prediction,-0.00031059952986167705
20_Xgboost_prediction,-0.0001671611671063694
wall_substrate,-0.00015312984286497687
27_LightGBM_GoldenFeatures_prediction,-0.00014228614435558284
longitude_diff_wind_damage_rating,-0.00013783637905736556
22_DecisionTree_prediction,-0.00013759426913856343
wall_cladding,-0.00011220149849884286
hazards_present,-4.937279443347209e-05
1_DecisionTree_prediction,-4.5523787262663484e-05
wind_damage_rating_ratio_Buildinglat,-2.296984755309761e-05
21_DecisionTree_prediction,-1.4391650068729112e-05
wind_damage_rating_ratio_longitude,-1.1306166028396402e-05
roof_shape,-3.1167162024337e-06
Buildinglong,-1.718042999759861e-06
wind_damage_rating,0.0
Buildinglong_multiply_wind_damage_rating,0.0
Buildinglat,0.0
23_CatBoost_SelectedFeatures_prediction,0.0
5_Default_CatBoost_SelectedFeatures_prediction,0.0
number_of_stories,8.406219565826323e-07
building_type,1.3948395353652331e-06
surge_damage_rating,8.522818365919172e-06
wall_structure,1.0649816570570958e-05
surge_damage_rating_sum_wind_damage_rating,1.3362466844979438e-05
8_CatBoost_SelectedFeatures_prediction,1.584149015170233e-05
Buildinglat_ratio_wind_damage_rating,3.889380943664922e-05
mwfrs,6.454970071761157e-05
9_RandomForest_prediction,7.164428123122568e-05
14_LightGBM_GoldenFeatures_prediction,7.35376439123081e-05
rainwater_ingress_damage_rating,8.55993454089432e-05
6_Default_RandomForest_prediction,0.00011259701522265685
16_CatBoost_prediction,0.0003374185230461624
roof_cover,0.0003794510243671584
4_Default_Xgboost_categorical_mix_prediction,0.00040694718536034015
Buildinglat_diff_wind_damage_rating,0.0004127512693887864
foundation_type,0.0004925429645355611
wind_damage_rating_multiply_Buildinglat,0.0005374614691218083
3_Default_LightGBM_GoldenFeatures_prediction,0.0005551668568589269
11_RandomForest_GoldenFeatures_prediction,0.0006449487048220626
12_RandomForest_GoldenFeatures_prediction,0.0007086614911477607
5_Default_CatBoost_prediction,0.0009421587803671416
18_LightGBM_prediction,0.0009731454859598365
6_Default_RandomForest_GoldenFeatures_prediction,0.0009782180915086426
roof_substrate_type,0.0011860349571187257
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.0012399396324712902
5_Default_CatBoost_GoldenFeatures_prediction,0.0014801428557369932
26_Xgboost_prediction,0.0016257957633082243
understory_pct_of_building_footprint,0.0017993883874136308
24_RandomForest_GoldenFeatures_prediction,0.0019660797389952356
25_Xgboost_SelectedFeatures_prediction,0.002029935225477589
10_RandomForest_prediction,0.002735471765373973
wind_damage_rating_ratio_Buildinglong,0.0031187852784850755
2_Linear_prediction,0.0035515166863064663
mindist,0.010116457009108137
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.01092674364721583
17_LightGBM_prediction,0.01397675624536302
6_Default_RandomForest_SelectedFeatures_prediction,0.023092673494855914
Ensemble_prediction,0.03349215306857331
3_Default_LightGBM_prediction,0.11665267952292382
4_Default_Xgboost_prediction,0.15506753229561665
7_CatBoost_SelectedFeatures_prediction,0.621210101460959
