feature,mean_importance
year_built,-0.004333034391411608
rainwater_ingress_damage_rating,-0.002271561955392576
understory_pct_of_building_footprint,-0.0016033683806404493
roof_shape,-0.0015025258924859092
roof_system,-0.0008884188880939281
wall_structure,-0.0004461214519952267
wall_substrate,-0.0004432468839126652
roof_cover,-9.529866963345346e-05
wall_cladding,0.0
building_type,3.8338029121048886e-05
mwfrs,0.00013189077736558975
number_of_stories,0.000317212767943742
mindist,0.0007878268754069412
Buildinglat,0.0010357524650430633
longitude,0.0010669093933358465
foundation_type,0.0013235079700588126
Unnamed0,0.0014066552030795043
roof_substrate_type,0.0021916219262966856
Buildinglong,0.005208257196548535
hazards_present,0.02248388949585383
surge_damage_rating,0.7551703931621268
wind_damage_rating,1.156405279268644
