feature,mean_importance
roof_substrate_type,-0.000897232078983723
building_type,-0.0008940296260389724
roof_system,-0.0008828768599596748
foundation_type,-0.0006127205197392433
Buildinglat,-0.0001942088305971229
rainwater_ingress_damage_rating,-0.00015264142169662542
wall_structure,-0.00013775171514874006
roof_shape,-0.00012945717624728015
understory_pct_of_building_footprint,-9.013535370398784e-05
17_LightGBM_prediction,-3.3979614227963583e-06
wall_cladding,0.0
number_of_stories,1.2155572971270234e-05
mwfrs,7.42221676267335e-05
Buildinglong,0.00011730085048296257
Unnamed0,0.00011731808485747341
year_built,0.0002194515895230259
wall_substrate,0.0002441356107585696
mindist,0.00028182585429604724
hazards_present,0.00034028250543559623
25_Xgboost_SelectedFeatures_prediction,0.0006013780171899325
roof_cover,0.0006718734952459559
1_DecisionTree_prediction,0.0006931180582223168
longitude,0.0008114428480454544
5_Default_CatBoost_prediction,0.0008145952941852302
22_DecisionTree_prediction,0.0009421958985409401
wind_damage_rating,0.0009866017583477465
20_Xgboost_prediction,0.0012206095822813706
surge_damage_rating,0.0015113509553732391
13_LightGBM_GoldenFeatures_prediction,0.0017536193660969367
6_Default_RandomForest_GoldenFeatures_prediction,0.0019930889006449905
27_LightGBM_GoldenFeatures_prediction,0.0024435637316834262
2_Linear_prediction,0.0035092926899567113
6_Default_RandomForest_prediction,0.004040052010495837
3_Default_LightGBM_GoldenFeatures_prediction,0.004401937767818442
18_LightGBM_prediction,0.004602026864576991
23_CatBoost_SelectedFeatures_prediction,0.0049924651064567754
19_Xgboost_SelectedFeatures_prediction,0.005291113337066808
Ensemble_prediction,0.0059054599223262675
5_Default_CatBoost_GoldenFeatures_prediction,0.006392252451088323
4_Default_Xgboost_prediction,0.006442775647139895
12_RandomForest_GoldenFeatures_prediction,0.00823512731409735
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.008771385314631244
10_RandomForest_prediction,0.009112595113552188
16_CatBoost_prediction,0.009647756563671847
14_LightGBM_GoldenFeatures_prediction,0.012474718587901487
9_RandomForest_prediction,0.013720291382137794
24_RandomForest_GoldenFeatures_prediction,0.013813613918083093
4_Default_Xgboost_categorical_mix_prediction,0.016164495333082292
8_CatBoost_SelectedFeatures_prediction,0.01679551817684898
11_RandomForest_GoldenFeatures_prediction,0.02119664468189965
21_DecisionTree_prediction,0.023406528073305767
6_Default_RandomForest_SelectedFeatures_prediction,0.030958100842959933
15_CatBoost_prediction,0.033982337583420605
5_Default_CatBoost_SelectedFeatures_prediction,0.0362727853046765
3_Default_LightGBM_prediction,0.03821190618041119
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.04542829063758779
7_CatBoost_SelectedFeatures_prediction,0.051587445155162705
26_Xgboost_prediction,0.055235360096935006
