feature,mean_importance
wall_cladding,-0.0019194233067176755
roof_system,-0.0011569663644942856
Unnamed0,-0.00048116141363256095
number_of_stories,-0.00015384521881097734
wall_structure,-0.00015356361695693376
understory_pct_of_building_footprint,-5.466903409977464e-05
Buildinglat,0.0
Buildinglong,0.0
rainwater_ingress_damage_rating,4.279352752784571e-05
foundation_type,0.0001330227240655374
year_built,0.00017085985101665259
building_type,0.00024716952717824815
mwfrs,0.0007770607360548853
roof_substrate_type,0.0008327726565913573
wall_substrate,0.0012130794989553052
roof_shape,0.001360584192015049
longitude,0.0024855135701100347
roof_cover,0.002600581352330794
hazards_present,0.007518483772028353
mindist,0.00846960591205372
surge_damage_rating,0.9246388302430377
wind_damage_rating,1.5176875396062104
