feature,shap_importance
7_CatBoost_SelectedFeatures_prediction,0.3856128602562802
4_Default_Xgboost_prediction,0.24796579496988153
3_Default_LightGBM_prediction,0.19823212340705543
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.07346586541734991
Ensemble_prediction,0.04937591703193322
26_Xgboost_prediction,0.02430155499160139
17_LightGBM_prediction,0.023967395287129347
6_Default_RandomForest_SelectedFeatures_prediction,0.017492623482415315
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.01526468087863436
longitude,0.014571903671013327
16_CatBoost_prediction,0.013638469977490986
2_Linear_prediction,0.012508159693318395
25_Xgboost_SelectedFeatures_prediction,0.010101436949331714
13_LightGBM_GoldenFeatures_prediction,0.00978085044417538
3_Default_LightGBM_GoldenFeatures_prediction,0.009763917036369127
9_RandomForest_prediction,0.008974746767834474
mindist,0.008784075179548167
Unnamed0,0.008183337230889194
roof_substrate_type,0.007310457252278835
24_RandomForest_GoldenFeatures_prediction,0.007131756485166633
15_CatBoost_prediction,0.006097416812408615
roof_system,0.005369669275594862
6_Default_RandomForest_GoldenFeatures_prediction,0.00526530604603407
5_Default_CatBoost_GoldenFeatures_prediction,0.00523239191434254
10_RandomForest_prediction,0.0049664374359161675
18_LightGBM_prediction,0.004708014340996124
rainwater_ingress_damage_rating,0.004533768195528711
11_RandomForest_GoldenFeatures_prediction,0.004048465404240645
20_Xgboost_prediction,0.00404322222293931
5_Default_CatBoost_prediction,0.003947011098409631
understory_pct_of_building_footprint,0.0035936748778095245
4_Default_Xgboost_categorical_mix_prediction,0.003504944623830325
wall_cladding,0.003302762539904864
27_LightGBM_GoldenFeatures_prediction,0.003295476274215885
foundation_type,0.0030116350362489855
12_RandomForest_GoldenFeatures_prediction,0.0028227411311947045
14_LightGBM_GoldenFeatures_prediction,0.0026927405829372565
year_built,0.002181547299445189
19_Xgboost_SelectedFeatures_prediction,0.0021198206241030667
6_Default_RandomForest_prediction,0.002030544064791429
building_type,0.001795260340904531
mwfrs,0.001748299346661382
22_DecisionTree_prediction,0.0014873398476798665
wall_structure,0.001287008110474161
surge_damage_rating,0.001185321675107588
roof_shape,0.0011550478498840641
hazards_present,0.001147417283638209
21_DecisionTree_prediction,0.0009455016139338953
wall_substrate,0.0008658573413695089
roof_cover,0.0008323665413278706
5_Default_CatBoost_SelectedFeatures_prediction,0.0007364597406126051
1_DecisionTree_prediction,0.000625418593452254
wind_damage_rating,0.0006145096352716622
Buildinglong,0.0005298553557934257
8_CatBoost_SelectedFeatures_prediction,0.00024224965025615216
number_of_stories,0.00011704735964833046
23_CatBoost_SelectedFeatures_prediction,6.866996235893269e-06
Buildinglat,0.0
