feature,mean_importance
wall_cladding,-0.0014260828855012203
10_RandomForest_prediction,-0.0004764102279491769
15_CatBoost_prediction,-0.00041756657291040084
surge_damage_rating,-0.00034259730584976916
year_built,-0.0003126954009853161
mwfrs,-0.0002760663291963519
6_Default_RandomForest_GoldenFeatures_prediction,-0.0002264507782625366
number_of_stories,-0.0001330294512905769
roof_cover,-0.00011911344192379603
1_DecisionTree_prediction,-2.700860706887631e-05
Buildinglat,0.0
Buildinglong,0.0
5_Default_CatBoost_SelectedFeatures_prediction,6.582871020169301e-06
rainwater_ingress_damage_rating,7.613257191121936e-06
roof_system,1.5448701409134792e-05
21_DecisionTree_prediction,5.6340589439128616e-05
foundation_type,7.491147162756034e-05
9_RandomForest_prediction,0.00011344137157207473
understory_pct_of_building_footprint,0.00012717130989216424
building_type,0.0001321106912754874
wall_structure,0.0001435065396417079
wall_substrate,0.00018157245126861621
roof_shape,0.0002167963251279381
22_DecisionTree_prediction,0.00023295655163425993
16_CatBoost_prediction,0.00026934308791347615
wind_damage_rating,0.0003617343080130939
14_LightGBM_GoldenFeatures_prediction,0.0003807699155305225
4_Default_Xgboost_categorical_mix_prediction,0.00040780145497901904
hazards_present,0.0004503171541346482
8_CatBoost_SelectedFeatures_prediction,0.0005203415566421676
11_RandomForest_GoldenFeatures_prediction,0.0005486610597928681
24_RandomForest_GoldenFeatures_prediction,0.0006302291801897466
13_LightGBM_GoldenFeatures_prediction,0.0007224790514183301
4_Default_Xgboost_prediction,0.0009328566076333797
3_Default_LightGBM_prediction,0.001096625120243075
17_LightGBM_prediction,0.0011850448348819196
20_Xgboost_prediction,0.001212074579187819
roof_substrate_type,0.0012515369329505212
5_Default_CatBoost_GoldenFeatures_prediction,0.0014654053941372674
12_RandomForest_GoldenFeatures_prediction,0.0015348235014452788
3_Default_LightGBM_GoldenFeatures_prediction,0.0017199042381277091
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.001951489620541047
longitude,0.0020783985477890025
19_Xgboost_SelectedFeatures_prediction,0.002132053854409384
Unnamed0,0.0021452648693826805
6_Default_RandomForest_prediction,0.0034573507380202054
18_LightGBM_prediction,0.003490755398609943
27_LightGBM_GoldenFeatures_prediction,0.007989649967502793
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.008744089209177153
mindist,0.0088298207068468
2_Linear_prediction,0.01181725671701947
5_Default_CatBoost_prediction,0.01637433406593937
26_Xgboost_prediction,0.029345296962416417
6_Default_RandomForest_SelectedFeatures_prediction,0.03513666092388639
7_CatBoost_SelectedFeatures_prediction,0.0393090170624837
25_Xgboost_SelectedFeatures_prediction,0.047171377005567075
Ensemble_prediction,0.06849466267519956
23_CatBoost_SelectedFeatures_prediction,0.10979809799188885
