feature,mean_importance
"roof_system_""Wood, unknown""",-0.005249528161277503
roof_shape_Gable,-0.0004806962233641271
"roof_system_""Steel, cold formed""",-0.00036685350739329436
foundation_type_Unknown,-0.00024336307458321105
roof_cover_Asphalt shingles (3-tab),-0.00018449813186365016
"roof_shape_Complex,Gable",-0.0001308965214483232
roof_shape_Complex,-0.0001223708580150612
roof_shape_Gable/Hip Combo,-9.762059256413768e-05
roof_system_Unknown,0.0
roof_system_Concrete slab,0.0
"roof_system_""Wood, trusses"",""Wood, rafter""",0.0
"roof_system_""Wood, rafter"",""Wood, trusses""",0.0
wall_substrate_masonry ,0.0
roof_substrate_type_Dimensional lumber,0.0
"roof_system_""Steel, hot rolled"",Z purlins",0.0
"roof_system_""Steel, hot rolled"",""Wood, unknown""",0.0
"roof_system_""Steel, hot rolled"",""Steel, joists""",0.0
"roof_system_""Steel, cold formed"",Concrete slab",0.0
"roof_system_""Steel, cold formed"",""Steel, joists""",0.0
"roof_system_""Wood, rafter""",0.0
roof_substrate_type_Metal deck,0.0
"roof_cover_""Metal, corrugated"",""Metal, standing seam""",0.0
roof_substrate_type_Plywood,0.0
"roof_cover_Wood shake,Wood shingle",0.0
roof_cover_Unknown,0.0
roof_cover_Tile Slate Roof Cover,0.0
roof_cover_Roll roofing,0.0
roof_cover_Red composite shingle,0.0
roof_cover_Other,0.0
roof_substrate_type_None,0.0
roof_cover_Metal shingles,0.0
roof_cover_Built-up without Gravel,0.0
roof_cover_Built-up with Gravel,0.0
"roof_cover_Asphalt shingles (laminated),""Metal, standing seam""",0.0
"roof_cover_Asphalt shingles (laminated),""Metal, corrugated""",0.0
"roof_cover_Asphalt shingles (3-tab),""Metal, standing seam""",0.0
roof_cover_Wood shingle,0.0
roof_cover_Clay tiles,0.0
wall_substrate_Thin aluminum siding,0.0
roof_cover_composite shingles,0.0
foundation_type_Reinforced masonry piers,0.0
"roof_shape_Complex,Hip",0.0
foundation_type_Crawlspace,0.0
roof_shape_Unknown,0.0
roof_shape_Monoslope,0.0
"wall_substrate_Not Applicable,Wood Beams",0.0
foundation_type_Ground anchors and strapping,0.0
"roof_shape_Flat,Gable",0.0
foundation_type_Reinforced masonry stem wall,0.0
"foundation_type_Slab on Grate and Wood Piers, unknown height",0.0
"roof_shape_Hip,Gable",0.0
foundation_type_Unreinforced masonry piers,0.0
foundation_type_Unreinforced masonry stem wall,0.0
foundation_type_Wood Piers <= 8 ft,0.0
"roof_shape_Hip,Curved",0.0
foundation_type_Wood Piers > 8 ft,0.0
foundation_type_helical anchors spaced irregulary,0.0
roof_shape_Gambrel,0.0
"wall_substrate_""Wood, dimensional planks""",0.0
"roof_shape_Gable,Hip",0.0
"wall_substrate_""Wood, sheathing (corners only)""",0.0
wall_substrate_Insulated foam board,0.0
wall_substrate_Metal panels,0.0
wall_substrate_None at first floor Rc moment frame,0.0
"roof_shape_Gable,Gambrel",0.0
foundation_type_Concrete piers support cast concrete slab on grade,0.0
foundation_type_Cast-in-place concrete piers,0.0
"roof_system_""Steel, hot rolled""",5.176328872737723e-05
roof_substrate_type_Plywood/OSB,7.455744754376049e-05
roof_shape_Flat,0.00013756136801194586
"wall_substrate_""Wood, sheathing (continuous)""",0.00021181199961812364
"roof_system_""Steel, joists""",0.0003430407692296855
wall_substrate_Not Applicable,0.000991730225756307
"roof_cover_""Metal, corrugated""",0.0010943577919701492
roof_cover_Asphalt shingles (laminated),0.0011571885791173686
roof_shape_Hip,0.0012462675010831259
"roof_system_""Wood, trusses""",0.0013138120518875612
foundation_type_Slab-on-grade,0.0020975391448853796
roof_substrate_type_Unknown,0.0026565214199032404
wall_substrate_Unknown,0.004281395706927313
"roof_cover_""Metal, standing seam""",0.007036165416182585
surge_damage_rating,1.2006355558749662
wind_damage_rating,1.5436223157531435
