feature,shap_importance
wind_damage_rating,0.7212674529622528
surge_damage_rating,0.5505848530274451
roof_shape,0.011646171257842603
Buildinglat,0.007340244759573678
wall_structure,0.004398790908190698
year_built,0.004323437719347041
foundation_type,0.0
Buildinglong,0.0
roof_cover,0.0
roof_substrate_type,0.0
roof_system,0.0
wall_cladding,0.0
wall_substrate,0.0
Unnamed0,0.0
mwfrs,0.0
understory_pct_of_building_footprint,0.0
number_of_stories,0.0
building_type,0.0
rainwater_ingress_damage_rating,0.0
hazards_present,0.0
longitude,0.0
mindist,0.0
