feature,mean_importance
mindist,-0.016949152542372836
roof_cover,0.0
roof_substrate_type,0.0
wall_cladding,0.0
wall_substrate,0.0
wall_structure,0.0
foundation_type,0.0
mwfrs,0.0
roof_shape,0.0
Buildinglong,0.0
Unnamed0,0.0
number_of_stories,0.0
building_type,0.0
rainwater_ingress_damage_rating,0.0
hazards_present,0.0
longitude,0.0
understory_pct_of_building_footprint,0.0
year_built,0.0
roof_system,0.007832714873132085
Buildinglat,0.008360894915254258
wind_damage_rating,1.5706799958512192
surge_damage_rating,2.308878205072551
