feature,shap_importance
5_Default_CatBoost_prediction,0.16698451467747089
9_RandomForest_prediction,0.09389335749917595
16_CatBoost_prediction,0.09055560900130648
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.05089287653080524
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.050015940718806905
3_Default_LightGBM_prediction,0.0400217479888685
4_Default_Xgboost_categorical_mix_prediction,0.037893265984036154
11_RandomForest_GoldenFeatures_prediction,0.036295243587016524
4_Default_Xgboost_prediction,0.03483297784879007
5_Default_CatBoost_GoldenFeatures_prediction,0.03199849683396967
24_RandomForest_GoldenFeatures_prediction,0.030317384761803547
12_RandomForest_GoldenFeatures_prediction,0.03020357623724113
Ensemble_prediction,0.029123071498786932
18_LightGBM_prediction,0.027950830814278616
3_Default_LightGBM_GoldenFeatures_prediction,0.027684783774089165
25_Xgboost_SelectedFeatures_prediction,0.02708318541520038
6_Default_RandomForest_prediction,0.024081960338977835
6_Default_RandomForest_SelectedFeatures_prediction,0.02052376765924614
Buildinglat_diff_wind_damage_rating,0.020426824111879505
wind_damage_rating_ratio_Buildinglong,0.017968552112832704
27_LightGBM_GoldenFeatures_prediction,0.01352176607384352
1_DecisionTree_prediction,0.012677842818436981
20_Xgboost_prediction,0.011485546449912247
Buildinglat_ratio_wind_damage_rating,0.007460595649781726
10_RandomForest_prediction,0.007397832625380132
23_CatBoost_SelectedFeatures_prediction,0.006403416006499898
19_Xgboost_SelectedFeatures_prediction,0.006287809703751696
8_CatBoost_SelectedFeatures_prediction,0.006151668835471676
hazards_present,0.005124749030832284
17_LightGBM_prediction,0.004840125028100362
13_LightGBM_GoldenFeatures_prediction,0.004619899670914145
5_Default_CatBoost_SelectedFeatures_prediction,0.004527734100840288
surge_damage_rating_sum_wind_damage_rating,0.004522002211484358
wind_damage_rating_ratio_longitude,0.004487445392974922
2_Linear_prediction,0.0032681492219812825
15_CatBoost_prediction,0.0030653089606815626
21_DecisionTree_prediction,0.0027942127779683264
6_Default_RandomForest_GoldenFeatures_prediction,0.002526104779209008
roof_system,0.002481534585976051
longitude,0.002315801630747055
mwfrs,0.002188258248808719
Buildinglong,0.002051029794616774
wall_structure,0.0018265783114000656
Unnamed0,0.0017097862979034409
7_CatBoost_SelectedFeatures_prediction,0.0014889331304016582
mindist,0.00131039267308167
Buildinglat,0.001024493477380034
rainwater_ingress_damage_rating,0.0007292243284700092
roof_shape,0.0005981312364668137
wind_damage_rating_ratio_Buildinglat,0.0005626603455457868
building_type,0.0004984333633037025
Buildinglong_multiply_wind_damage_rating,0.00025887196497871817
wind_damage_rating_multiply_Buildinglat,0.0001994456662514267
longitude_diff_wind_damage_rating,8.606901551687211e-05
22_DecisionTree_prediction,0.0
foundation_type,0.0
26_Xgboost_prediction,0.0
understory_pct_of_building_footprint,0.0
number_of_stories,0.0
wall_substrate,0.0
wall_cladding,0.0
roof_substrate_type,0.0
surge_damage_rating,0.0
wind_damage_rating,0.0
wind_damage_rating_multiply_longitude,0.0
roof_cover,0.0
14_LightGBM_GoldenFeatures_prediction,0.0
year_built,0.0
