feature,mean_importance
building_type,-0.0030862773703780435
mindist,-0.002577402373698229
year_built,-0.001468390515109047
mwfrs,-0.0008022467621456337
wall_cladding,-0.000565194973718805
longitude_diff_wind_damage_rating,-0.00046482597173347074
Buildinglong_multiply_wind_damage_rating,-0.0003098423675335582
roof_cover,-0.00020649605227127942
wind_damage_rating_multiply_Buildinglat,-0.00017474285423319801
roof_substrate_type,-0.00012507635128017336
number_of_stories,2.171822642451915e-05
hazards_present,0.00015166615956383467
understory_pct_of_building_footprint,0.00019413594222217334
wall_structure,0.00020441390160366168
wind_damage_rating_ratio_longitude,0.00026167432951491323
Buildinglong,0.00044567864357854535
roof_shape,0.0005239304852852344
Buildinglat,0.0005674238539149723
wind_damage_rating_multiply_longitude,0.0007937233904863755
longitude,0.0009519830400045281
wall_substrate,0.0011474425846543985
foundation_type,0.0012773576648547364
Unnamed0,0.001654711300585221
roof_system,0.0018502951077602747
rainwater_ingress_damage_rating,0.001948976106186931
Buildinglat_diff_wind_damage_rating,0.006061609071148427
wind_damage_rating_ratio_Buildinglong,0.0290401322172546
wind_damage_rating,0.03457666640158465
Buildinglat_ratio_wind_damage_rating,0.03757990861111839
wind_damage_rating_ratio_Buildinglat,0.05277157927366042
surge_damage_rating_sum_wind_damage_rating,0.23929007531396684
surge_damage_rating,0.3854350807659917
