feature,shap_importance
Buildinglong,5.316038555966148
longitude,5.209482268796193
wind_damage_rating,0.7107250259719722
surge_damage_rating,0.6881031284096166
Buildinglat,0.08121736404265226
Unnamed0,0.07377500734882705
roof_system,0.05705289140338862
wall_cladding,0.05427226425204811
wall_structure,0.030413206969510758
hazards_present,0.02488716316854293
understory_pct_of_building_footprint,0.021619089087654253
roof_substrate_type,0.020236308009585945
roof_cover,0.020062036627628736
rainwater_ingress_damage_rating,0.01538467075426921
mindist,0.015179279026238411
year_built,0.015116515373558546
building_type,0.010729931783299278
wall_substrate,0.008807079887492289
roof_shape,0.006219084385816028
mwfrs,0.004202174035310296
foundation_type,0.003863533714324405
number_of_stories,0.0033883579601081755
