feature,mean_importance
roof_shape,-0.0050680124884784575
roof_cover,-0.0028790211715399527
roof_substrate_type,-0.0018197864537396358
rainwater_ingress_damage_rating,-0.0003655323260290166
building_type,-0.00010703976633945622
wall_substrate,5.167820241652743e-05
number_of_stories,0.0003802315198617734
mindist,0.0006756770224846997
foundation_type,0.0007800684630476673
understory_pct_of_building_footprint,0.0013311446598576304
mwfrs,0.0017259068872924944
roof_system,0.0023262802744837387
Buildinglat,0.003449171797976447
hazards_present,0.003733978402031024
year_built,0.004128836262527835
Unnamed0,0.004447501555434374
wall_cladding,0.004937869969093877
wall_structure,0.014474114325172394
wind_damage_rating,1.1580988092050415
surge_damage_rating,1.4416344762701534
Buildinglong,1705.7527154838858
longitude,1716.2808861594945
