feature,weight
intercept,-0.0021432789798819496
Unnamed0,0.0005867891022002337
Buildinglat,0.005880806399989634
longitude,7.755377224811893
hazards_present,0.038715053985339726
wind_damage_rating,0.7674738580390129
surge_damage_rating,0.9431533708927057
rainwater_ingress_damage_rating,-0.005079571181589187
building_type,-0.03802874123305727
number_of_stories,-0.021988759374936086
understory_pct_of_building_footprint,-0.05970225913028953
year_built,-0.037108135958904186
roof_shape,-0.0035390652014870034
mwfrs,-0.013226278962710523
foundation_type,-0.023607424581898424
wall_structure,-0.06837407936745847
wall_substrate,-0.03369913465085157
wall_cladding,-0.05221007529637893
roof_system,0.0835326914994219
roof_substrate_type,0.012931757680623759
roof_cover,0.018029258731288883
Buildinglong,-7.842180592048254
mindist,0.03243210075048947
