feature,shap_importance
wind_damage_rating,0.6784677972989971
surge_damage_rating,0.40338403023744496
mindist,0.02341630612316585
longitude,0.01716692868161417
year_built,0.01683483199546827
Unnamed0,0.014891716553163127
roof_substrate_type,0.01420912558789475
hazards_present,0.010782140647267983
roof_shape,0.010700732642206813
wall_cladding,0.007954209753875278
building_type,0.007413947984290944
rainwater_ingress_damage_rating,0.0065007525088913425
roof_system,0.0062979029144875865
roof_cover,0.005925238358912198
wall_substrate,0.00520187573399337
Buildinglong,0.003653912921529957
foundation_type,0.0031565227255133015
understory_pct_of_building_footprint,0.002531980833805714
wall_structure,0.0022667142546707003
mwfrs,0.002196707158948243
Buildinglat,0.002029326083307004
number_of_stories,0.0012598656594202744
