feature,mean_importance
longitude,-0.0028991318422097916
roof_cover,-0.0010922553451048478
building_type,-0.0007279667506033622
Unnamed0,-0.0006630432189588282
Buildinglong,-0.0005924901362783259
year_built,-0.000402949154853155
number_of_stories,-0.00035392462385561705
mwfrs,-0.0002500106084892567
wall_structure,-0.00023924738550533953
Buildinglat,-0.00011104406102109276
understory_pct_of_building_footprint,2.2992800573271022e-05
mindist,7.842343791985285e-05
wall_substrate,7.90383191836691e-05
rainwater_ingress_damage_rating,0.0002065195717539492
foundation_type,0.0004548756179686253
roof_substrate_type,0.0012392655874149117
wall_cladding,0.001819954513420838
roof_system,0.002755640084373218
roof_shape,0.0035591384002732597
hazards_present,0.004079806350420795
surge_damage_rating,0.9574890855249751
wind_damage_rating,1.1397171967435455
