feature,mean_importance
rainwater_ingress_damage_rating,-0.0045365216770395424
roof_system,-0.004411259713308038
Unnamed0,-0.002093063833116604
year_built,-0.0014457645081488862
roof_substrate_type,-0.0010574627872999038
Buildinglat,-0.0007813939611397008
wall_structure,-0.0007477291487158033
wall_cladding,-0.0005844246131176845
longitude,-0.0003819989731098511
Buildinglong_multiply_wind_damage_rating,-0.00032089642484016135
Buildinglat_diff_wind_damage_rating,-0.00027042684290168594
roof_shape,-0.00020675681222463715
longitude_diff_wind_damage_rating,-0.0001421751857562381
Buildinglong,6.199387103535958e-05
mwfrs,0.0001840019429022066
number_of_stories,0.0002004397102303407
building_type,0.00023837123448539055
wind_damage_rating_ratio_longitude,0.0002891629437469567
foundation_type,0.0008085703154806334
roof_cover,0.0008122586650808422
wall_substrate,0.0009848628196677174
mindist,0.0010096700927330836
understory_pct_of_building_footprint,0.001330309627438142
wind_damage_rating,0.0024406026538225656
hazards_present,0.0033374762410159353
wind_damage_rating_multiply_longitude,0.004468898313324643
wind_damage_rating_multiply_Buildinglat,0.006735143811382629
wind_damage_rating_ratio_Buildinglong,0.011381509290918704
Buildinglat_ratio_wind_damage_rating,0.027478396980894153
surge_damage_rating,0.04097873790414515
wind_damage_rating_ratio_Buildinglat,0.07017489253562806
surge_damage_rating_sum_wind_damage_rating,1.4708200779708112
