feature,shap_importance
surge_damage_rating_sum_wind_damage_rating,0.6542142120147566
wind_damage_rating_ratio_Buildinglat,0.13919113635297742
Buildinglat_ratio_wind_damage_rating,0.11360761437952485
surge_damage_rating,0.08408908636621164
wind_damage_rating_ratio_Buildinglong,0.041527090567785745
wind_damage_rating_multiply_Buildinglat,0.031681784901286106
wind_damage_rating,0.01787814534082589
Unnamed0,0.015386219272625281
mindist,0.012996201507356494
roof_system,0.010022856010842275
year_built,0.009865686106104497
Buildinglat_diff_wind_damage_rating,0.009602941251886238
wall_cladding,0.009310445212870713
hazards_present,0.008706103656031585
rainwater_ingress_damage_rating,0.008678805379861076
wind_damage_rating_multiply_longitude,0.008483898219001959
longitude,0.007501840786381083
foundation_type,0.007160381846859317
roof_substrate_type,0.005943262719055677
roof_shape,0.005080288952404802
roof_cover,0.004370686198933098
understory_pct_of_building_footprint,0.004266539975194498
wall_substrate,0.0041665855902979325
Buildinglat,0.0026791208958275607
building_type,0.0024784954560882456
mwfrs,0.002129256135017551
wind_damage_rating_ratio_longitude,0.0020948235962487383
Buildinglong,0.0019554941327206343
wall_structure,0.0011994167904196792
longitude_diff_wind_damage_rating,0.0009517630784886662
Buildinglong_multiply_wind_damage_rating,0.0006697117833895995
number_of_stories,0.0004224224515619085
