feature,mean_importance
wind_damage_rating_multiply_Buildinglat,-0.0007584776731541148
longitude_diff_wind_damage_rating,-0.00039694943216946196
15_CatBoost_prediction,-0.0003525104577202412
24_RandomForest_GoldenFeatures_prediction,-0.00032338524083002084
10_RandomForest_prediction,-0.00021439819480318644
1_DecisionTree_prediction,-0.0001544870395724887
wind_damage_rating_multiply_longitude,-0.00013189682686366583
wind_damage_rating_ratio_longitude,-2.934659729162681e-05
Buildinglong_multiply_wind_damage_rating,-1.4773309255144972e-06
5_Default_CatBoost_SelectedFeatures_prediction,0.0
wind_damage_rating,6.373788041749706e-06
22_DecisionTree_prediction,4.38013292792111e-05
8_CatBoost_SelectedFeatures_prediction,7.084931803108263e-05
21_DecisionTree_prediction,8.976336124269513e-05
surge_damage_rating,0.00010128817343378338
surge_damage_rating_sum_wind_damage_rating,0.00014171314964432635
6_Default_RandomForest_GoldenFeatures_prediction,0.00040486593629824875
wind_damage_rating_ratio_Buildinglat,0.00040650836951291043
13_LightGBM_GoldenFeatures_prediction,0.00046299656754821147
19_Xgboost_SelectedFeatures_prediction,0.0004679357276906562
wind_damage_rating_ratio_Buildinglong,0.00047669313211303463
4_Default_Xgboost_categorical_mix_prediction,0.000532273174919369
11_RandomForest_GoldenFeatures_prediction,0.0006796168513510794
4_Default_Xgboost_prediction,0.0009066479419362547
14_LightGBM_GoldenFeatures_prediction,0.0011046596395093936
16_CatBoost_prediction,0.0011835254950669407
12_RandomForest_GoldenFeatures_prediction,0.0011929135796458976
Buildinglat_ratio_wind_damage_rating,0.0015011380984264965
3_Default_LightGBM_prediction,0.0019902034719100304
20_Xgboost_prediction,0.0020728341488478767
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.002082071396323705
3_Default_LightGBM_GoldenFeatures_prediction,0.002714896901006321
5_Default_CatBoost_GoldenFeatures_prediction,0.0029583173958637092
17_LightGBM_prediction,0.0031293793685097035
Buildinglat_diff_wind_damage_rating,0.003614796939375546
6_Default_RandomForest_prediction,0.004280343787799233
5_Default_CatBoost_prediction,0.0043577478450734395
27_LightGBM_GoldenFeatures_prediction,0.004438855925790642
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.005199802197730414
18_LightGBM_prediction,0.005560101287982959
9_RandomForest_prediction,0.008287624264558686
2_Linear_prediction,0.010486948958365515
7_CatBoost_SelectedFeatures_prediction,0.022484560577243008
26_Xgboost_prediction,0.025631106294128493
25_Xgboost_SelectedFeatures_prediction,0.02871152753570897
6_Default_RandomForest_SelectedFeatures_prediction,0.03404398040850265
Ensemble_prediction,0.07509239636121963
23_CatBoost_SelectedFeatures_prediction,0.09539276082377576
