feature,mean_importance
longitude,-0.0018673987967478072
understory_pct_of_building_footprint,-0.001654125592540409
year_built,-0.0008479709179181671
roof_cover,-0.0006847912129943151
wall_substrate,-0.0005576024442987771
10_RandomForest_prediction,-0.000522204176230015
wind_damage_rating,-0.00041544814345386425
Buildinglong,-0.000372829898327301
19_Xgboost_SelectedFeatures_prediction,-0.00035311449998696174
number_of_stories,-0.00031674021417881225
1_DecisionTree_prediction,-0.0002882928206374258
mwfrs,-7.972848551494326e-05
13_LightGBM_GoldenFeatures_prediction,-7.797372714390404e-05
Buildinglat,-2.9809397806287997e-05
wall_structure,3.2100390598116533e-06
building_type,4.769233248552718e-05
22_DecisionTree_prediction,7.28276779428827e-05
roof_shape,8.58557129632731e-05
4_Default_Xgboost_prediction,0.00013021564156342203
21_DecisionTree_prediction,0.0001690271597144577
24_RandomForest_GoldenFeatures_prediction,0.000213937995297081
25_Xgboost_SelectedFeatures_prediction,0.0002868608000676287
8_CatBoost_SelectedFeatures_prediction,0.00031532496589974367
rainwater_ingress_damage_rating,0.0003518415038081396
hazards_present,0.00039427688296078954
26_Xgboost_prediction,0.00047705996523807746
6_Default_RandomForest_GoldenFeatures_prediction,0.0004865618761701274
5_Default_CatBoost_SelectedFeatures_prediction,0.0005213292107185769
5_Default_CatBoost_GoldenFeatures_prediction,0.0005698324224147622
3_Default_LightGBM_GoldenFeatures_prediction,0.0006231994893846543
foundation_type,0.0006625958490626887
surge_damage_rating,0.0006888036421863003
23_CatBoost_SelectedFeatures_prediction,0.0007094711575329704
roof_system,0.0008552075757755934
wall_cladding,0.0008911337731096674
18_LightGBM_prediction,0.0010643630508397617
Unnamed0,0.0012253659368380576
20_Xgboost_prediction,0.0012655665130052256
2_Linear_prediction,0.001362258444903644
9_RandomForest_prediction,0.0014769103718925813
mindist,0.0015655598814696692
14_LightGBM_GoldenFeatures_prediction,0.0016310015958692857
6_Default_RandomForest_prediction,0.001757404665568052
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0019320415456740348
3_Default_LightGBM_prediction,0.0031870606994893165
15_CatBoost_prediction,0.0040147582199780455
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.004442854602328347
17_LightGBM_prediction,0.004602982773647196
5_Default_CatBoost_prediction,0.005880928075589503
roof_substrate_type,0.006196909917601703
16_CatBoost_prediction,0.007482036624250005
Ensemble_prediction,0.0081003204020929
12_RandomForest_GoldenFeatures_prediction,0.012664622081366253
7_CatBoost_SelectedFeatures_prediction,0.01587308477482296
11_RandomForest_GoldenFeatures_prediction,0.01701221883931793
6_Default_RandomForest_SelectedFeatures_prediction,0.057893421945095655
27_LightGBM_GoldenFeatures_prediction,0.08332145534846255
4_Default_Xgboost_categorical_mix_prediction,0.09676955432446724
