feature,mean_importance
longitude,-0.0027575444983938798
roof_cover,-0.0013965160996223386
mwfrs,-0.0009645970902209339
building_type,-0.0009062091419345247
number_of_stories,-0.00028030481163424657
roof_substrate_type,-0.0002788396205158916
roof_shape,-1.1055249509167586e-05
Buildinglat,0.0
Buildinglong,0.0
mindist,0.00010340108149691773
understory_pct_of_building_footprint,0.0001532822884736884
wall_cladding,0.0006013013043336096
rainwater_ingress_damage_rating,0.000620229846786513
roof_system,0.0012669528631012005
foundation_type,0.001328143395453743
wall_structure,0.0025909606286079303
year_built,0.004256756359985905
wall_substrate,0.00446759806695696
Unnamed0,0.006512384912307584
hazards_present,0.029842330633547874
wind_damage_rating,1.399440055361106
surge_damage_rating,1.5829895170633788
